 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a31	0.06557678	0.059326503	0.06005219	0.055352103	0.059900768	0.076619975	0.08611001	0.09484668	0.09424529	0.09599551	0.09397024	0.09461161	0.06339235
a24	0.052261245	0.043366563	0.04726732	0.031163141	0.029777424	0.039508764	0.041807942	0.070163876	0.062481295	0.26351646	0.12358761	0.15679576	0.038302623
a28	0.05748434	0.05019902	0.06328707	0.05107499	0.053947695	0.06326819	0.064413816	0.07175399	0.065202944	0.1744769	0.10197823	0.125232	0.057680834
a39	0.052115686	0.04729873	0.060196716	0.058139578	0.0633296	0.06914354	0.069951236	0.07419754	0.07241631	0.15394755	0.09674793	0.11497989	0.06753574
a17	0.052831993	0.048869666	0.061077703	0.06285352	0.06707903	0.070999436	0.071582206	0.075245865	0.07504708	0.14867963	0.09173797	0.10469739	0.06929845
a31	0.05531636	0.051200353	0.06296551	0.064653024	0.06781211	0.071350016	0.07188478	0.0758667	0.07649568	0.14929162	0.0885505	0.09628903	0.068324275
a20	0.036046892	0.028819362	0.03930318	0.034623273	0.037792627	0.046257354	0.050686426	0.07622594	0.08432156	0.21685265	0.14070956	0.15769151	0.050669577
a31	0.030125132	0.020897036	0.02882059	0.021840729	0.027669948	0.050135452	0.056806818	0.0886942	0.091613494	0.23552433	0.15040995	0.16930601	0.02815631
a17	0.0351361	0.018893614	0.028230174	0.013764424	0.017461322	0.04731187	0.058961928	0.102653086	0.11153061	0.19702901	0.16541247	0.17633043	0.027284931
a8	0.014991777	0.009411953	0.0129503235	0.0084485235	0.010955578	0.03445859	0.05172331	0.111805655	0.10726853	0.23856825	0.17820892	0.20979775	0.011410825
a31	0.012893666	0.009094186	0.012334713	0.010059118	0.012620107	0.035059597	0.051092356	0.11145877	0.105398215	0.26827735	0.16889814	0.19278571	0.010028076
a8	0.018941132	0.010630567	0.014686503	0.00793945	0.010276478	0.036920257	0.05499711	0.11107338	0.106032796	0.24011372	0.17612925	0.19890858	0.013350739
a24	0.013427377	0.00924746	0.012139212	0.009562253	0.012484115	0.035951734	0.05171557	0.110403344	0.10072829	0.27228114	0.16771132	0.19439167	0.009956574
a31	0.015591282	0.010924858	0.01461526	0.011548594	0.014574395	0.03997478	0.056683328	0.109503716	0.09919313	0.29394355	0.15164292	0.1710299	0.010774292
a20	0.017247705	0.009849143	0.013983794	0.008706191	0.011928243	0.038752414	0.05557159	0.107846856	0.108172886	0.23763049	0.17806289	0.19752572	0.014722114
a31	0.011747678	0.008411634	0.010685192	0.008140864	0.009852428	0.029013563	0.04517634	0.114731066	0.09527227	0.29333416	0.16485472	0.2004196	0.008360449
a41	0.013633003	0.008752708	0.010978099	0.006739693	0.008068917	0.027783962	0.046276014	0.11745312	0.096988	0.28498197	0.1661182	0.20225129	0.009975032
a31	0.011704373	0.008681957	0.01048669	0.0077745575	0.00892928	0.02509337	0.040775333	0.11764035	0.08927761	0.32184565	0.1547137	0.19492216	0.008154979
a13	0.012804314	0.00899502	0.010720848	0.007007114	0.007850287	0.023006063	0.03951551	0.1187047	0.09097683	0.32694444	0.15280637	0.19126876	0.009399721
a37	0.012796622	0.010055927	0.011623128	0.008432553	0.008907242	0.020552	0.03369432	0.117660396	0.08146251	0.3769656	0.13499556	0.17389771	0.008956384
a8	0.011612898	0.009602679	0.011458737	0.009452679	0.010196502	0.021372305	0.03381343	0.119542	0.07878876	0.3953946	0.12903742	0.16104811	0.008679872
a39	0.013361718	0.0105575295	0.012491193	0.011476782	0.013883826	0.033484504	0.05151837	0.11990797	0.086033024	0.3778408	0.12155115	0.13763236	0.010260795
a20	0.013825263	0.011797017	0.014312532	0.013590642	0.015366799	0.027930642	0.041115876	0.12273198	0.08003777	0.42785653	0.10389	0.11595833	0.011586613
a24	0.014137948	0.011516753	0.014712378	0.013889151	0.016065229	0.033474755	0.051013414	0.12595217	0.09748725	0.36248666	0.119961195	0.12712006	0.012183077
a18	0.019901391	0.014576136	0.018903783	0.017007703	0.02125178	0.051648058	0.07522332	0.13161172	0.116735965	0.2677623	0.124559924	0.12389414	0.016923746
a23	0.021031156	0.015427475	0.020273479	0.018682383	0.022622999	0.052385967	0.07609223	0.12787692	0.1188089	0.2655585	0.1223843	0.11956068	0.019295
a24	0.018501643	0.014404695	0.01876275	0.018923258	0.023259735	0.051664956	0.07681055	0.13826694	0.11800448	0.26509383	0.119220905	0.118386835	0.018699478
a31	0.02063706	0.015749853	0.020047052	0.019841908	0.025080692	0.05720387	0.083554745	0.14015293	0.12117022	0.23659329	0.12012145	0.11912714	0.020719826
a20	0.014651685	0.012456646	0.0155402245	0.017435629	0.021635022	0.04473984	0.06882452	0.1401918	0.10332737	0.31450093	0.11187962	0.11814091	0.016675802
a3	0.02146142	0.019739343	0.022069324	0.023955155	0.027700596	0.04049267	0.05176284	0.12787181	0.0672685	0.42479065	0.07142218	0.08013416	0.021331342
a31	0.022068273	0.020164311	0.02325135	0.025218898	0.028983068	0.03989053	0.048242927	0.11218442	0.062076896	0.45520732	0.06699853	0.073668875	0.022044461
a13	0.018348916	0.016937254	0.017790433	0.018215656	0.020470275	0.03350554	0.048321437	0.13075757	0.071038425	0.43086278	0.07976426	0.096300006	0.017687477
a31	0.035110082	0.0335653	0.03479953	0.035562254	0.038176257	0.046535246	0.051680632	0.0902947	0.05302698	0.42551374	0.056810435	0.06528506	0.03363976
a3	0.027810037	0.026498761	0.0269524	0.026459841	0.027385667	0.034060452	0.042128798	0.104472674	0.06366817	0.4550881	0.065078855	0.07386134	0.026534922
a20	0.04759124	0.04567575	0.046528507	0.04592394	0.047203526	0.05217041	0.055055294	0.07763173	0.057272222	0.35725656	0.059132475	0.063897036	0.044661235
a39	0.04249375	0.040292166	0.04149172	0.04098436	0.042788103	0.049053777	0.0523359	0.07740619	0.053386793	0.39964095	0.057240237	0.06373668	0.03914938
a20	0.040522754	0.038646154	0.04004814	0.040509425	0.043039527	0.05046198	0.054176167	0.08115819	0.053076852	0.39653465	0.05792254	0.06577482	0.03812884
a31	0.03767513	0.036634445	0.037646238	0.038703624	0.041129205	0.048715796	0.053855576	0.093311146	0.056029372	0.393756	0.058694895	0.06696671	0.036881875
a24	0.04336381	0.04275394	0.042987637	0.04294453	0.04363257	0.047978185	0.05320468	0.09814394	0.06701994	0.34275535	0.06410585	0.06824404	0.042865496
a46	0.058166657	0.05775025	0.058058143	0.058352448	0.059206903	0.0621874	0.064305305	0.08110347	0.06609363	0.24241073	0.06604649	0.06858417	0.05773445
a31	0.062410563	0.062201254	0.06233173	0.062446326	0.0628627	0.064674094	0.06627263	0.07938267	0.068845555	0.2083775	0.06817667	0.06975197	0.062266424
a18	0.06760722	0.06745703	0.067502074	0.06744202	0.06753816	0.06825164	0.069128215	0.07706364	0.071601085	0.16670635	0.070892155	0.071373105	0.067437276
a31	0.07407472	0.0738937	0.07396895	0.073935434	0.074076235	0.07460827	0.07491269	0.077156685	0.07508687	0.103635296	0.07517645	0.07565583	0.0738188
a20	0.07043167	0.0703062	0.07033966	0.0702622	0.07030457	0.07072452	0.071278736	0.076467626	0.07308021	0.14070494	0.07274356	0.07307417	0.07028195
a24	0.075720035	0.075537845	0.07558859	0.075479746	0.07551295	0.07571368	0.07583589	0.076836675	0.07607991	0.08994232	0.07610294	0.076230235	0.075419106
a31	0.07445241	0.07412996	0.07426122	0.07413954	0.074316956	0.07493987	0.07520317	0.07713299	0.07515895	0.10101478	0.07541532	0.07590833	0.073926516
a23	0.07155453	0.07148102	0.07150314	0.07147456	0.07152258	0.071882494	0.072342165	0.07663457	0.07373516	0.12920733	0.073430754	0.073752396	0.0714793
a20	0.07648074	0.076397814	0.07642524	0.07639018	0.0764234	0.07655354	0.07660758	0.076971576	0.076602675	0.081376	0.07665742	0.07676534	0.07634845
