 	devo	comprare	il	pane	ogni	giorno	</S>
a31	0.14373152	0.090688735	0.1308113	0.13816501	0.16474499	0.20121592	0.1306425
a35	0.046589054	0.035042662	0.085426725	0.10214688	0.16180371	0.49819008	0.070800975
a20	0.09117333	0.06345317	0.09062547	0.10987269	0.17793435	0.34383154	0.123109505
a31	0.10394352	0.060256332	0.096541524	0.12151255	0.18059061	0.29737344	0.139782
a20	0.049408972	0.03306648	0.062680826	0.08879782	0.18947609	0.49103275	0.085537076
a31	0.05496656	0.014823845	0.04927354	0.07583967	0.1811041	0.55779064	0.06620175
a20	0.048484992	0.0073180306	0.05009182	0.08991181	0.22202012	0.52739316	0.054780085
a13	0.029811122	0.006265384	0.03441476	0.062957846	0.18418302	0.6591024	0.023265522
a24	0.025152523	0.008634362	0.017771035	0.029792666	0.10713463	0.7939629	0.017551826
a46	0.03491945	0.012078431	0.019966105	0.029177502	0.095690265	0.786946	0.021222303
</S>	0.04687605	0.01820973	0.026380915	0.036752604	0.10754549	0.7328611	0.03137412
