 	le	canzoni	più	belle	sono	scritti	nella	notte	</S>
a31	0.14913294	0.14989443	0.15296856	0.07047283	0.043548986	0.048762824	0.1436627	0.14969237	0.09186439
a1	0.06646027	0.079000756	0.4630469	0.031316258	0.02634673	0.029397529	0.077014305	0.1823229	0.045094237
a20	0.06442929	0.09082203	0.34823543	0.052742116	0.044588555	0.06364537	0.11641961	0.13491064	0.08420694
a31	0.07762481	0.10476808	0.25113982	0.08040311	0.055829883	0.09247319	0.11281911	0.119357556	0.10558445
a13	0.048028205	0.072476685	0.47994438	0.04153609	0.032026384	0.052722123	0.08545932	0.11806098	0.06974581
a17	0.06876226	0.095692135	0.34574795	0.067761995	0.04618081	0.076462	0.09835213	0.11047891	0.09056181
a29	0.08817726	0.109137684	0.31472272	0.07393588	0.043140467	0.06433101	0.10280675	0.1132425	0.09050568
a18	0.11146204	0.13552172	0.35811874	0.04459605	0.021406727	0.030959647	0.10802102	0.12336479	0.066549234
a31	0.11476235	0.13680577	0.43436226	0.019368444	0.012426821	0.016357506	0.09732844	0.13756374	0.031024579
a13	0.09475978	0.12443225	0.48316014	0.012252957	0.008277767	0.01185318	0.08878735	0.15777776	0.018698847
a18	0.095930845	0.121349715	0.5067771	0.013548577	0.009429855	0.014376554	0.07721335	0.14175811	0.019615863
a31	0.095224336	0.120080836	0.51630116	0.013675388	0.009669192	0.014651021	0.07251373	0.13854776	0.019336581
a3	0.08344097	0.10724471	0.53619665	0.012377531	0.008906011	0.013518754	0.072328635	0.14749458	0.018492121
a31	0.08949688	0.10999027	0.5351807	0.015390754	0.011160325	0.01766962	0.068151474	0.13019341	0.022766598
a46	0.06844241	0.087899186	0.5747063	0.011309305	0.008425117	0.013039434	0.069556385	0.14843713	0.018184746
a31	0.07119901	0.08084139	0.5801085	0.016096707	0.013071247	0.019655056	0.06525569	0.12849842	0.025274051
a20	0.054831494	0.06492653	0.6283321	0.010804079	0.009173956	0.013000335	0.060068574	0.14221705	0.016645933
a17	0.060215417	0.065477796	0.6152729	0.018153656	0.016329275	0.0218601	0.060148854	0.11638387	0.026158223
a20	0.05914149	0.06263924	0.5833838	0.02431375	0.021844385	0.029493015	0.068107314	0.11625083	0.03482612
a31	0.05752444	0.06300534	0.5564524	0.029290896	0.025703683	0.03607221	0.07451958	0.11392141	0.04351009
a8	0.060258254	0.06127791	0.5674107	0.024621805	0.022907952	0.028972363	0.070885204	0.13079517	0.0328707
a31	0.0755265	0.074987076	0.39960733	0.04787165	0.046794586	0.05160432	0.093347944	0.15596014	0.05430046
a1	0.07721122	0.076702245	0.41253552	0.04986143	0.0492741	0.05188105	0.080778174	0.14857818	0.05317798
a46	0.09021427	0.08985002	0.2551889	0.07399342	0.07354314	0.075619146	0.10122467	0.16348058	0.07688585
a31	0.094809696	0.09457755	0.20535478	0.084157005	0.08378957	0.08560187	0.105584964	0.15966749	0.086457
a17	0.09994597	0.09958607	0.19238769	0.090166405	0.08995596	0.0909621	0.10296204	0.14262138	0.09141236
a23	0.10597477	0.10576735	0.1465428	0.10110938	0.10101631	0.10144592	0.1071962	0.12926921	0.10167803
a8	0.1080158	0.10807354	0.12638389	0.106175944	0.106120974	0.10638669	0.109620616	0.122712806	0.10650975
a31	0.10917323	0.10915283	0.12300507	0.107603885	0.10756926	0.10773392	0.10977669	0.118176065	0.107809044
a8	0.109774925	0.10974034	0.12156382	0.10837587	0.10835262	0.10845852	0.109832056	0.11539423	0.10850768
a23	0.11039886	0.11036717	0.11662332	0.10961923	0.10960671	0.10966277	0.110424064	0.11360585	0.10969204
a8	0.11070957	0.1107272	0.11361198	0.110425435	0.11041897	0.110448375	0.11081554	0.11238107	0.110461816
a23	0.11081832	0.11081866	0.113349386	0.110529184	0.11052425	0.110546164	0.110830985	0.11202645	0.11055657
a8	0.11092571	0.110935226	0.11235953	0.11078489	0.110781975	0.110794865	0.110959016	0.11165792	0.11080091
a31	0.11095869	0.11095928	0.11235202	0.11079931	0.110796794	0.110807724	0.11095293	0.11156022	0.11081309
a28	0.11098929	0.1109885	0.11264082	0.11078751	0.11078563	0.11079239	0.11090103	0.11131826	0.1107966
a24	0.11097473	0.1109847	0.112119	0.11086666	0.110864736	0.11087254	0.11098394	0.111456655	0.110877104
a8	0.11019884	0.110260926	0.1134908	0.10998839	0.10997635	0.1100265	0.110941485	0.11503838	0.11007837
a31	0.110740796	0.11070344	0.113891535	0.1103196	0.110313416	0.110340625	0.11076827	0.11256345	0.110358894
a20	0.110982046	0.11097438	0.11216506	0.1108327	0.11083048	0.11084056	0.11097904	0.11155012	0.110845596
a31	0.11083325	0.11085157	0.11208914	0.11074814	0.11074413	0.110762514	0.11102089	0.11217608	0.110774264
a17	0.11097665	0.110972755	0.112640545	0.11077623	0.11077418	0.11078145	0.11090511	0.11138648	0.11078656
</S>	0.11099402	0.11100283	0.11171411	0.11093827	0.11093662	0.11094382	0.11104306	0.11147916	0.11094805
