 	la	macchina	vuole	riparata	dal	meccanico	</S>
a8	0.09065161	0.161822625	0.1322625	0.26857931	0.160854225	0.1198540975	0.065975594
a46	0.0626840616667	0.168620861667	0.134132693333	0.328849573333	0.154356795	0.0996506141667	0.0517053923333
a35	0.0561790065556	0.188794853889	0.140796404444	0.348186824444	0.138046078333	0.0792623747222	0.0487344781111
a3	0.0580293241852	0.201159251296	0.138614871481	0.363522691481	0.130783026111	0.0676083782407	0.0402824957037
a31	0.0508134677284	0.215712930432	0.120134560494	0.401752080494	0.126735500037	0.0566647727469	0.0281867179012
a18	0.0400810929095	0.229876283477	0.098778373498	0.442076890165	0.122166621346	0.0472231775823	0.0197975429671
a31	0.0320040223032	0.237369611159	0.0838543698327	0.473628476722	0.114037573782	0.0418627791941	0.0172431466557
a46	0.0268597364344	0.23876356372	0.0766323152776	0.485747405574	0.109039204594	0.0427127070647	0.0202450842186
a31	0.0241963454781	0.228372377907	0.0734536717592	0.500438381858	0.105428951531	0.0452731330216	0.0228371600729
a46	0.026842594826	0.211225322636	0.0796025389197	0.481426460619	0.11243499051	0.0584385563405	0.0300295540243
a31	0.0315832732753	0.185516854212	0.0829065513066	0.471045170206	0.121566136837	0.0714696874468	0.0359123256748
a17	0.0440927684251	0.157983241404	0.0876476091022	0.433705213402	0.139001885612	0.0910595824823	0.0465097048916
a20	0.070315637475	0.140164150468	0.105549048367	0.320789197801	0.167046355204	0.123730850827	0.0724047669639
a31	0.093422685825	0.137083746823	0.116234469456	0.2554929626	0.170571568401	0.132895523609	0.094299048988
a7	0.114923491942	0.141562592274	0.126599333152	0.208600567533	0.159166866134	0.134335854536	0.114811329663
a39	0.129730550647	0.142365477425	0.135221681051	0.173063089178	0.151660202045	0.138431084845	0.129527939888
a31	0.136116840216	0.142892632475	0.138998783684	0.158556393059	0.147330300682	0.140175264948	0.135929776629
</S>	0.138460840108	0.143347916237	0.140374426842	0.153710896529	0.145095030341	0.140720132474	0.138290733314
