 	ti	dico	una	cosa	però	non	parlare	di	queste	cose	con	Maria	</S>
a46	0.11272709	0.0367275825	0.0347440765	0.055395979	0.011142095	0.05615206	0.145134415	0.11046139	0.146414325	0.204041005	0.023866958	0.036852849	0.026340153
a28	0.105221793333	0.0300662531667	0.0299896821667	0.0478207826667	0.006810276	0.045367929	0.142850371667	0.102251123333	0.159254671667	0.240876715	0.02424169	0.0370255146667	0.028223189
a15	0.104224214444	0.0358685910556	0.0369552037222	0.0571603692222	0.0059111759	0.0539068953333	0.120000939222	0.0950737594443	0.146718657222	0.214970061667	0.0350096476667	0.0518124165556	0.0423880643333
a31	0.104187871481	0.0399816060185	0.0419680002407	0.0630396130741	0.0057766632	0.0603876231111	0.104692755074	0.0884583581481	0.134373729074	0.198699910556	0.0442952482222	0.0612223621852	0.0529162224444
a20	0.105881160494	0.0404119886728	0.0426824007469	0.0641467376914	0.00542818763333	0.0621301323704	0.099060700358	0.083979172716	0.132189406358	0.205007146852	0.0449098660741	0.0613944667284	0.0527786144815
a31	0.109026038498	0.0316121945576	0.0330662649156	0.0542674995638	0.00410890054444	0.0531255527901	0.110793202119	0.081640787572	0.159811472119	0.246034778951	0.032106119358	0.0467135282428	0.0376936713272
a35	0.110434031166	0.0179943791859	0.0184971133052	0.0388022878546	0.00307344424815	0.0386320345967	0.129321230706	0.081402044524	0.19384422404	0.30568895965	0.0166438951193	0.0260764547476	0.0195899036091
a8	0.117281770389	0.0116383205286	0.0119896052017	0.0304103759515	0.00312669998272	0.0312282025322	0.141264300235	0.0857902068413	0.197968528013	0.32956300655	0.0108550473731	0.0163947572492	0.0124891745364
a31	0.12195115813	0.00749227730953	0.00784286166723	0.0210818059838	0.00282689586091	0.0217986678441	0.152320960078	0.0912202856138	0.211573389338	0.334959522183	0.00762470712437	0.0107699857497	0.00853745941213
a29	0.124861754043	0.00586601966984	0.00615227525574	0.0166579839946	0.00305300588697	0.016774915948	0.157783993359	0.0947058252046	0.211908849779	0.339976094061	0.00627627570812	0.00881835558323	0.00716462237071
a41	0.133015311348	0.00637992598995	0.00673993895191	0.0168219073315	0.00392786129566	0.0167110819827	0.16076788112	0.0960984800682	0.19024423326	0.34405069802	0.00712437423604	0.00980878386108	0.0083094894569
a37	0.141921113783	0.00679082402998	0.00727561765064	0.0162159157772	0.00445812443189	0.0158139319942	0.166276320373	0.0964686016894	0.174955261087	0.341660526007	0.00807612474535	0.0107049049537	0.00938271548563
a24	0.152715094594	0.00804602584333	0.00859181321688	0.0185399262591	0.0051782073773	0.0189164136647	0.165955833458	0.10212314723	0.166543717029	0.319843135336	0.00966350724845	0.0126413713179	0.0112418374952
a28	0.162162928198	0.00945405461444	0.0101551404056	0.0203306244197	0.00579585702577	0.0211337622216	0.166968111153	0.104925499077	0.15801759901	0.301829168445	0.0115610484162	0.014490067106	0.0131762034984
a31	0.169853279399	0.00947776653815	0.0102155521352	0.0187947261399	0.00632561357526	0.0186049884072	0.173512967051	0.103877319692	0.145150103003	0.304064006148	0.0118291841387	0.0147803863687	0.0135141556661
a20	0.180832746466	0.0103530188461	0.0109602077117	0.0191779677133	0.00816557975842	0.0176930761357	0.18736378235	0.104214173231	0.128510501001	0.289405562049	0.0124420357129	0.0162569984562	0.014624342722
a24	0.193945812155	0.012162426282	0.0128044755706	0.0210148879044	0.00993992925281	0.0189945137119	0.197310214117	0.107794471077	0.117026003667	0.258865180683	0.014309981571	0.0188408708187	0.0169912132407
a31	0.199597530718	0.0138061054273	0.0143637358569	0.0222359689681	0.0118554410843	0.0200608422373	0.206532271372	0.113637630359	0.109187611222	0.234391876894	0.0157459911903	0.0201919009396	0.0183930987469
a13	0.188410450239	0.0203418048091	0.0207206519523	0.028182084656	0.0191507766948	0.0247110457458	0.221290947124	0.109176041453	0.0942895904073	0.202409965631	0.0217050620634	0.0256814536465	0.0239301065823
a18	0.172275456746	0.028657833603	0.0290145729841	0.037028595552	0.0276705565649	0.0321409435819	0.220908269041	0.102112521818	0.0853498001358	0.169031281877	0.0298574280211	0.0339435208822	0.0320092005274
a31	0.153941028915	0.0366682218677	0.0369358266614	0.043407115184	0.0359426905216	0.0392859595273	0.215208973014	0.096448110606	0.0797197600453	0.144855460626	0.0375628486737	0.0407847766274	0.0392392508425
a11	0.127366959638	0.0493947712892	0.0495226022205	0.053090661728	0.0490231035072	0.0508147781758	0.185448361005	0.0896338485353	0.0756915333484	0.118017786875	0.0498229015579	0.0514824845425	0.0506902156142
a31	0.107298926546	0.0609896124297	0.0610538440735	0.0629998072427	0.0607920278357	0.0617286693919	0.141540250335	0.0841153798451	0.0755436411161	0.0990808289583	0.061191497186	0.0620395281808	0.0616259672047
a46	0.095008082182	0.0684261988099	0.0684509013578	0.0692766090809	0.0683371792786	0.0687793597973	0.111493136778	0.080017363615	0.075726760372	0.0884551263194	0.0685014023953	0.0688483547269	0.0686795124016
a31	0.0860290140607	0.0730928156033	0.0731020171193	0.0734252043603	0.0730548644262	0.0732415645991	0.0920053575927	0.0780882295383	0.0762869967907	0.0821225287731	0.0731179774651	0.0732489035756	0.0731845308005
a8	0.0817784246869	0.0750918465344	0.0750952423731	0.0752225227868	0.0750748328087	0.0751576861997	0.0838071545309	0.0773416731794	0.0765861289302	0.0794730229244	0.0750995174884	0.0751482545252	0.0751237222668
</S>	0.0800269523435	0.0758262332672	0.0758281361866	0.0758997213934	0.0758159014044	0.0758641180998	0.0809367722654	0.0771419865897	0.0767032344651	0.0784283414622	0.0758295862442	0.0758563022626	0.0758427541334
