 	non	sapeva	dove	a	stare	</S>
a20	0.21575997	0.15604927	0.182579515	0.071546114	0.23775836	0.13630675
a31	0.221156836667	0.15432441	0.190254125	0.0498943373333	0.259859733333	0.124510563333
a37	0.221783978889	0.155135476667	0.199480575	0.0432002817778	0.266727337778	0.113672343111
a38	0.232648886296	0.147165588889	0.200176015	0.0524851332593	0.267799059259	0.0997253297037
a31	0.220213115432	0.141173046296	0.206128578333	0.0652724344198	0.27695338642	0.0902594532346
a41	0.201789965144	0.142845972099	0.218193376111	0.0749245148066	0.273469318807	0.0887768664115
a10	0.195872701715	0.148099274033	0.220118202037	0.0842221549355	0.250547619602	0.101140072804
a20	0.190547050572	0.146381841344	0.202076794012	0.0919512649785	0.232088203201	0.136954862935
a9	0.178706873524	0.147972027115	0.175868961337	0.11513928166	0.199411677734	0.182901200978
</S>	0.169645906762	0.149538378557	0.165349900668	0.13052293083	0.185252993867	0.199689925489
