 	il	lupo	non	cammina	mai	nemmeno	con	la	volpe	</S>
a39	0.0747542435	0.12736106	0.092710135	0.17693284	0.0476026245	0.148283743	0.032157171	0.057367934	0.17134824	0.071482003
a3	0.0605753191667	0.13661475	0.0864248216667	0.19236736	0.0418698248333	0.150372464333	0.0297477833333	0.045545656	0.183849483333	0.0726325396667
a39	0.0605361377222	0.14108058	0.0924876438889	0.166881426667	0.0563222032778	0.133709149444	0.0416722424444	0.0566841786667	0.162389667778	0.0882367865556
a3	0.0616651949074	0.13500844	0.095645767963	0.144506905556	0.0704499844259	0.123747557815	0.0558857258148	0.0694228315556	0.146177692593	0.0974899155185
a10	0.0632477049691	0.128790813333	0.096701479321	0.132720695185	0.0787505514753	0.118277165938	0.0658834652716	0.0772930425185	0.137597044198	0.10073804184
a38	0.065743673323	0.123051924444	0.0964101697737	0.127122476728	0.0830897871584	0.116219115313	0.0721835934239	0.0817916825062	0.133608724733	0.10077886228
a37	0.067772939441	0.117300972815	0.0962266032579	0.124525673909	0.0858063843861	0.116725828438	0.075802667808	0.0847416691687	0.131066511578	0.100030777093
a24	0.0679697964803	0.117868992272	0.0969747227526	0.127577951303	0.085061723462	0.119579010813	0.0724452292693	0.0848133197229	0.129149110526	0.0985601783643
a31	0.0627930604934	0.124973397424	0.0925833805842	0.148346253768	0.0673896388207	0.143336114938	0.0512977760898	0.071595261241	0.153677560175	0.0840075754548
a3	0.0527133684978	0.136210212475	0.0873380715281	0.177207794589	0.0398681206069	0.181273584979	0.0261038576966	0.047439645747	0.194284763392	0.0575606064849
a20	0.0433362694993	0.148038450825	0.0822289538427	0.196738074863	0.0234625412023	0.205684784993	0.0153886008989	0.0295498519157	0.218970151131	0.0366023408283
a31	0.0349886871664	0.157337846942	0.0738420196142	0.210129894954	0.0156605380674	0.214841764998	0.0106407467996	0.0203474786386	0.235480400377	0.0267306236094
a11	0.0289334950555	0.159186845647	0.0686697482047	0.218968904985	0.0128313423558	0.225246408333	0.0089081414332	0.0164203035462	0.237834220126	0.0230005792031
a7	0.0266828913518	0.158128281882	0.0678974627349	0.222792651662	0.0129117121186	0.236778099444	0.00939109781107	0.0153617905154	0.228893403375	0.0211625970677
a31	0.0254391554506	0.158759440627	0.0665622169116	0.226174953887	0.0124197530395	0.237229683148	0.00907086107036	0.0149104725051	0.228490921125	0.0209425306892
a24	0.0276509201502	0.160535246876	0.0722295016372	0.226023271296	0.0133064436798	0.231984211049	0.00933640115679	0.0163659991684	0.218763883708	0.0238041255631
a46	0.0283931727167	0.160005022292	0.0746959592124	0.229205280432	0.0151517808933	0.23861207035	0.0108430340523	0.0178381820561	0.199586907903	0.0256686208544
a39	0.0232971412389	0.154443350764	0.0623289730708	0.244778270144	0.0154967639644	0.261254980117	0.0119034773508	0.0168488130187	0.185130292634	0.0245179772848
a31	0.0200828760796	0.146589833588	0.0524209790236	0.258032646715	0.0148819773215	0.278229273372	0.0119308797836	0.0156628020062	0.178789160878	0.0233796237616
a14	0.0188471623599	0.136149171196	0.0455596863412	0.266391365572	0.0139434074405	0.294426247791	0.0116377409279	0.0145971316687	0.176393330293	0.0220548069205
a38	0.0195920747866	0.130781773732	0.0422649687804	0.272437045191	0.0157214418135	0.30539540593	0.0135686666426	0.0159788185562	0.160137633431	0.0241222056402
a31	0.0197194219289	0.123779712577	0.0390728615935	0.27549988173	0.0158364906045	0.31694853531	0.0139876578809	0.0161685858521	0.155281931144	0.0237049298801
a37	0.0229081069763	0.112663462192	0.0374842691978	0.27105349391	0.0185196418682	0.331112625103	0.0172219212936	0.0189552016174	0.144890043715	0.02519126996
a20	0.0294531783254	0.106255050731	0.0426494030659	0.260631544637	0.0261215466227	0.323349545034	0.0246388357645	0.0261519652058	0.126565494572	0.03418347532
a39	0.0321016974418	0.10705935691	0.0482732936886	0.255531158212	0.0307755395409	0.301906815011	0.0284101675882	0.0303120097353	0.123504291524	0.0421256817733
