 	lui	sapeva	che	oggi	fa	freddo	fa	freddo	e	non	ha	fatto	il	bagno	</S>
a31	0.11924854	0.0387456645	0.03660187	0.0468490855	0.061821046	0.055335285	0.0618498085	0.057060973	0.061304188	0.0527949455	0.061362074	0.130014445	0.140513655	0.0518654805	0.0246329445
a10	0.148362373333	0.0339669425	0.0297207633333	0.0390513548333	0.0524871793333	0.0428565933333	0.0508993605	0.044029797	0.0508789483333	0.0393523681667	0.051783715	0.159315045	0.179533621667	0.0505518675	0.0272100638333
a39	0.158252684444	0.0367431611667	0.0325594644444	0.0391044532778	0.0489445764444	0.0405499181111	0.0472718385	0.0413486966667	0.0475582724444	0.0384807067222	0.0491449493333	0.150300808333	0.180746133889	0.0537201471667	0.0352741812778
a31	0.168947544815	0.0352448587222	0.0310113498148	0.0369879977593	0.0473239928148	0.0390325413704	0.0471182521667	0.0406905472222	0.0476968568148	0.0378172975741	0.0505230344444	0.150791296111	0.176643811296	0.0549903780556	0.0351802424259
a21	0.177420124938	0.0323107635741	0.0279689819383	0.0342564649198	0.0458617382716	0.0367485091235	0.0463540783889	0.0389038300741	0.0469059789383	0.0355999351914	0.0508749408148	0.15882343537	0.182410827099	0.0536276426852	0.0319327388086
a31	0.180985668313	0.030920511858	0.0265358523128	0.0338425389733	0.0475518900905	0.0377201770412	0.0489131727963	0.0400120856914	0.0492946976461	0.0361731923971	0.0535530549383	0.15450519179	0.176447829033	0.0535413265617	0.0300027912695
a21	0.185307569438	0.028758003286	0.0244500004376	0.0331797559911	0.0489017123635	0.0387587133471	0.0516038942654	0.0414625965638	0.0518838735487	0.036195651799	0.0568206309794	0.153340910597	0.170634316344	0.0527267478539	0.0259756257565
a31	0.180668416479	0.0303098344287	0.0251982698125	0.0356336893304	0.0514407451212	0.042229581449	0.0546784947551	0.0451522278546	0.0557544588496	0.0396648872663	0.0596512083265	0.143151156866	0.159052955448	0.0534943019513	0.0239197745855
a28	0.16409895216	0.0312180671429	0.0238899726042	0.0381100957768	0.0582603723737	0.0474555071497	0.0611175282517	0.0510125606182	0.0639182362832	0.0451469280888	0.0638303481088	0.136273525622	0.143352778483	0.0548232959838	0.0174918263952
a31	0.163575674053	0.0257377947143	0.0196402893681	0.0372937795923	0.0620978877912	0.0516805483832	0.0652583660839	0.0558991208727	0.0680389770944	0.0487634500296	0.0658325840363	0.134619261874	0.141836779494	0.0499110539946	0.00981442733173
a37	0.159837208018	0.0209086295714	0.016219357956	0.0363133498641	0.0670876782637	0.0554719821277	0.0688417086946	0.0588969919576	0.0696690373648	0.0491859466765	0.0652081206788	0.137811887291	0.145543219831	0.0424545826649	0.00655029197724
a31	0.159035416006	0.0161331645238	0.012659385652	0.0319726039547	0.0695227510879	0.0579016750426	0.0723745595649	0.0616451339859	0.0696966091216	0.0462641215588	0.0629628248929	0.144088125764	0.15733678661	0.033415398555	0.00499145285908
a6	0.160775325335	0.0117626561746	0.00954301255067	0.0272464553182	0.0705545040293	0.0597588273475	0.0727823251883	0.0621428069953	0.0663561097072	0.0432088985196	0.0595184139643	0.153314048588	0.172296172203	0.0265743435183	0.00416610718636
a31	0.155089268445	0.00967745672487	0.00802485185022	0.0240456134394	0.0710152300098	0.0605731941158	0.0745024937294	0.0628621859984	0.0635129899024	0.0389613708399	0.0554566003214	0.161618536196	0.188795057401	0.0220795918394	0.00378552102879
a20	0.154513839482	0.00778574090829	0.00672356145007	0.0207723661465	0.0700092986699	0.0603231640386	0.0750719665765	0.0630530446661	0.0618510999675	0.0364991469466	0.0532525921071	0.167434768732	0.200635152467	0.0185527239465	0.00352145117626
a41	0.151599259827	0.00724940686943	0.00621030398336	0.0194608770488	0.0701309515566	0.0595485090129	0.0734792941922	0.061112597222	0.0597387349892	0.0349613809822	0.0510479037024	0.175608039577	0.209032790822	0.0174403933155	0.00337951815875
a33	0.138373704942	0.00627855875648	0.00595156766112	0.0177715673496	0.0685450938522	0.0591606703376	0.0761568780641	0.0621409434073	0.0573507056631	0.0312253273274	0.0476710912341	0.181816623192	0.229667940274	0.0143731031052	0.00351623671958
a31	0.118276369981	0.00582205291883	0.00600575022037	0.0166695311165	0.0692417246174	0.0590335841125	0.0780219293547	0.0611141734691	0.0534728128877	0.0270801841091	0.0431531444114	0.191123241064	0.255621150091	0.0115592550351	0.00380509870653
a37	0.110453929994	0.00573102950628	0.00600724907346	0.0150469577055	0.0680635168725	0.0567571033708	0.0753480264516	0.057337497823	0.0494225372959	0.0243169090364	0.0391945331371	0.198671697021	0.27943747003	0.0102147970117	0.00399676520218
a27	0.094001789998	0.00738351660209	0.00775829302449	0.0165625182352	0.0657219709575	0.0545432264569	0.0789728654839	0.056799554941	0.0468488667653	0.0222188763455	0.0349058030457	0.201700885674	0.29612220001	0.0110554071706	0.00540425790073
a31	0.0743304549993	0.0086933592007	0.0091538983415	0.0177129894117	0.0649797903192	0.0530264334856	0.0822720584946	0.0568814989803	0.0450063122551	0.0208083867818	0.0312540816819	0.207579818558	0.30944469667	0.0119725135569	0.00688372876691
a3	0.0670724099998	0.0101138364002	0.0106152381138	0.0172800798039	0.0627521201064	0.0493273448285	0.0780061774982	0.0533601569934	0.0434242007517	0.0209254845939	0.0299241545606	0.207151356186	0.329187112223	0.0123821521856	0.00847817905564
a8	0.0633983143333	0.0162614908001	0.0168438000379	0.0224498139346	0.0633035700355	0.0496853259428	0.0793842538327	0.0546625536645	0.0455738235839	0.0252219915313	0.0323882011869	0.187588962062	0.310985497408	0.0176469010619	0.0146054823519
a38	0.0611523524444	0.0271211989334	0.0278359470126	0.0352620973115	0.0722230333452	0.0580564056476	0.0784404479442	0.0574112522215	0.0487136778613	0.0334220505104	0.0385907260623	0.161412897354	0.245649792469	0.0290091650206	0.025698946784
a31	0.0612041131481	0.0345276599778	0.0351497133375	0.0424752317705	0.0742798411151	0.0619360788825	0.0786888226481	0.0605159384072	0.0522588139538	0.0397492811701	0.0437159153541	0.141397975785	0.20396633749	0.0366729750069	0.0334613232613
a33	0.0625086450494	0.0431766323259	0.0435112147792	0.0475314782568	0.069694503705	0.0620356549608	0.0796905875494	0.0649954744691	0.0581600959846	0.04779760139	0.0503770554514	0.117573641928	0.16589103583	0.0444552490023	0.0426011277538
</S>	0.0648062650247	0.050721658163	0.0509600188896	0.0536537616284	0.0690435268525	0.0636563724804	0.0765275187747	0.0660316347346	0.0611919929923	0.053919755695	0.0556215602257	0.100106580964	0.131903692915	0.0515372455012	0.0503183773769
