 	ho	scritto	una	lettera	al	mio	fratello	</S>
a46	0.08152468	0.07238221	0.07208969	0.12434587	0.057152282	0.22263072	0.25358596	0.11628858
a31	0.401566	0.1946452	0.10191626	0.08790612	0.049778625	0.049741197	0.053397875	0.061048802
a13	0.441321	0.24911813	0.07898996	0.06525543	0.03006301	0.036565594	0.04671583	0.05197112
a20	0.3749896	0.28374618	0.114896186	0.043879606	0.015866164	0.03643923	0.062592484	0.06759057
a15	0.22523355	0.22797358	0.2010192	0.06814442	0.0069713355	0.020746114	0.039308652	0.2106032
a20	0.15521821	0.17060298	0.19459198	0.08577141	0.011896524	0.021735264	0.08216599	0.2780176
a31	0.094299726	0.13841778	0.20823672	0.067526944	0.022224013	0.0231156	0.1610051	0.28517404
a39	0.23734716	0.39903206	0.23105535	0.05826763	0.0073865154	0.0033184318	0.017146466	0.046446487
a31	0.09520947	0.20866412	0.18926384	0.02954162	0.0099848	0.016259195	0.26470205	0.18637489
a20	0.3337643	0.26653233	0.073786296	0.03740987	0.005431919	0.010164004	0.055700757	0.21721052
a31	0.100571655	0.19106615	0.060692158	0.017127443	0.00344207	0.034307253	0.27965987	0.3131334
a7	0.13924894	0.08695767	0.040741015	0.021450268	0.0088646775	0.031716164	0.1208186	0.5502026
a46	0.054706212	0.04354561	0.018961787	0.007483127	0.0028769483	0.026166225	0.3751324	0.47112772
a39	0.056511115	0.040096007	0.021901846	0.0060822563	0.016358007	0.12542199	0.34394443	0.38968432
a31	0.07327244	0.033178847	0.01941885	0.0078106937	0.060486015	0.1461158	0.25899297	0.4007244
a46	0.003967801	0.006744994	0.006873942	0.0069322903	0.008929307	0.038065787	0.25530893	0.67317694
a0	0.00097518874	0.001795203	0.0013787927	0.0011488794	0.011355209	0.03694056	0.40511543	0.54129076
a27	0.008966662	0.0085892165	0.005366871	0.0049054855	0.05012174	0.09687777	0.47668454	0.34848773
a20	0.02359147	0.031649668	0.01496394	0.024859626	0.042964976	0.12909496	0.44425327	0.28862208
a0	0.019649655	0.030012198	0.02865447	0.024964834	0.07302581	0.18775494	0.34816852	0.28776956
a14	0.009165198	0.014314723	0.014804632	0.019923046	0.055369515	0.16197374	0.35368687	0.37076226
a0	0.00893492	0.010318867	0.0058194855	0.013638364	0.02474126	0.08621454	0.43041104	0.41992146
a46	0.009924419	0.009839182	0.004382736	0.013878709	0.023989918	0.1145102	0.3971821	0.42629275
a20	0.015723363	0.01562642	0.014667943	0.027098695	0.036379382	0.2247129	0.35359016	0.31220114
</S>	0.011615927	0.013600649	0.011812142	0.026070017	0.03382728	0.117538735	0.2629339	0.52260125
