 	era	molto	stanco	</S>
a46	0.46315134	0.09260026	0.15138352	0.29286492
a8	0.21521336	0.117644385	0.25241128	0.41473097
a37	0.17545171	0.09590092	0.26303008	0.4656173
a31	0.50007397	0.13174815	0.15445895	0.21371895
a0	0.57218206	0.15639131	0.12501937	0.14640726
a20	0.262786	0.23140141	0.3733814	0.13243109
a31	0.21941437	0.2767215	0.37384087	0.13002324
a39	0.11862845	0.10648426	0.23468143	0.54020584
a41	0.06786754	0.1146085	0.30435073	0.5131732
a31	0.12115843	0.21661048	0.3114142	0.35081688
a28	0.17045262	0.040371902	0.14743546	0.64173996
a11	0.043946654	0.039758675	0.13263685	0.78365785
a20	0.025113378	0.08298926	0.11879471	0.7731027
a31	0.018614605	0.05481253	0.105011165	0.8215617
a11	0.10436474	0.007482468	0.054615982	0.83353686
</S>	0.024651095	0.010996337	0.040382948	0.9239697
