 	sta	seduta	nel	giardino	nel	giardino	</S>
a33	0.21624543	0.03696923	0.017869905	0.014007106	0.07957587	0.15523015	0.4801024
a31	0.1871216	0.2919854	0.043074157	0.087799	0.08995518	0.1935252	0.10653947
a20	0.17625016	0.21644855	0.035257682	0.077409536	0.08550515	0.25951323	0.14961569
a31	0.33058688	0.18592025	0.03995108	0.024991833	0.06025309	0.24397668	0.114320174
a20	0.14410311	0.09826547	0.096414745	0.02433815	0.06304168	0.37876973	0.19506715
a38	0.2198672	0.07414769	0.04134155	0.007926309	0.060712785	0.15560952	0.440395
a31	0.24880071	0.0723409	0.029096847	0.008453836	0.06426578	0.19186012	0.38518187
a29	0.24682549	0.123169996	0.11833121	0.07858827	0.038253624	0.19898392	0.19584756
a20	0.12812576	0.043604776	0.02224301	0.0064729108	0.056384273	0.19711064	0.54605865
a31	0.09338233	0.035821468	0.012720306	0.007230645	0.045605782	0.22332361	0.5819159
a20	0.47965875	0.08788242	0.08100581	0.0823969	0.022579055	0.12817807	0.11829906
a46	0.11954184	0.02866642	0.021878757	0.011808116	0.07840797	0.25225785	0.48743907
a31	0.06166714	0.022594212	0.018259319	0.01167392	0.07832042	0.2410217	0.5664633
a20	0.36519754	0.07187421	0.07658666	0.13512929	0.032749016	0.17433837	0.1441249
a31	0.09892327	0.022254502	0.027798994	0.027249875	0.08297125	0.26397103	0.47683102
a39	0.18318027	0.05226324	0.07832962	0.09699823	0.052766908	0.22432543	0.31213635
a0	0.043266904	0.022558482	0.025065081	0.026252735	0.062072773	0.29168314	0.5291009
a20	0.034317315	0.022048816	0.02708242	0.04266858	0.0803367	0.37194353	0.42160258
a23	0.046011124	0.016581047	0.02552609	0.0482365	0.09107841	0.3396438	0.43292305
a31	0.0102429455	0.013912442	0.02588867	0.011164811	0.053523254	0.40245712	0.4828107
a20	0.029934749	0.010425733	0.018545266	0.026518865	0.1085423	0.23909853	0.5669345
a31	0.02273697	0.010694803	0.015433161	0.1210385	0.049819008	0.25310206	0.52717555
a46	0.016876122	0.004018134	0.00862358	0.0084098885	0.09060947	0.29113892	0.5803239
</S>	0.02102144	0.0032917396	0.0062616486	0.06332898	0.07462782	0.4128189	0.41864946
