 	se	si	era	vestito	il	mio	fratello	l	avessi	portato	con	me	</S>
a33	0.172807275	0.200711145	0.128976275	0.064600503	0.0574480325	0.046784536	0.034028388	0.0221902925	0.0232638385	0.0220091725	0.040438959	0.0497770645	0.136964569
a31	0.213959555	0.254088625	0.158685211667	0.0595450343333	0.0460898508333	0.033083325	0.0272843216667	0.0216390521667	0.0278119468333	0.0313390098333	0.0304949486667	0.0328395608333	0.0631396013333
a20	0.217318771667	0.226939031667	0.180464963889	0.0715794381111	0.0367299979444	0.0268423233333	0.0213556895556	0.0156815807222	0.0339988339444	0.0367266166111	0.0302841198889	0.0565438652778	0.0455347927778
a31	0.182737647222	0.152801997222	0.14198846263	0.0907092527037	0.0406850703148	0.0335884904444	0.0275007691852	0.0196408829074	0.0403927926481	0.0369360808704	0.031628537963	0.0836119604259	0.117778084259
a28	0.134654322407	0.097613641074	0.100848138877	0.0984007142346	0.0441577877716	0.0365729018148	0.0344083253951	0.0314943509691	0.0429526425494	0.0361562109568	0.0334013879877	0.100636705475	0.20870290142
a20	0.0864117491357	0.073048110358	0.0767216962923	0.0964541647449	0.0421790969239	0.0353611442716	0.0398726267984	0.042567960323	0.0433178625165	0.0333046083189	0.0361928516626	0.159036151825	0.235531980473
a37	0.0689074780452	0.061745752786	0.0643126980974	0.0800162055816	0.037877796308	0.0325136394239	0.0436015965995	0.043754731441	0.0404054168388	0.026949897773	0.0306266388875	0.252236897275	0.217051230158
a31	0.0690837226817	0.0663976889287	0.107102478699	0.0615445705272	0.0346018517693	0.0312028284746	0.0411599881998	0.046940938147	0.0437386916129	0.026249631591	0.0394597656292	0.238622415758	0.193895386719
a20	0.0589640818939	0.0601410583096	0.115910274566	0.0468006381757	0.0300866872564	0.0355857851582	0.0501518923999	0.0720465583823	0.060613523871	0.0269750155303	0.0595659818764	0.158694718586	0.22446375224
a31	0.044872708298	0.0412396414365	0.0669871548553	0.0341754603919	0.0250025814188	0.0358888660527	0.0513361241333	0.0808027341274	0.058619421957	0.0214470621768	0.0694836322921	0.161273126195	0.30887149408
a46	0.0340096730993	0.0286023368122	0.0411366206184	0.0232923351306	0.0225567364729	0.0338140440176	0.0480068817111	0.0794142880425	0.049185682319	0.0182020743923	0.0837666290974	0.173445868732	0.364566858027
a20	0.0266747170331	0.0233688402707	0.0302527888728	0.0178506933769	0.0206081351576	0.0380762656725	0.057271251237	0.0912585826808	0.0587402251063	0.0173756077974	0.0836342173658	0.172528839577	0.362359849342
a31	0.0221439733444	0.0208852100902	0.0277146679576	0.0159460097923	0.0176298810525	0.0346982828908	0.0499057274123	0.0815954022269	0.0524369733688	0.0188857302658	0.0838928767886	0.218084179859	0.356181093114
a20	0.0143008087815	0.0147439303634	0.0209037929859	0.0115614399308	0.0147826753508	0.0269122252969	0.0373488284708	0.0607981687423	0.0422596234563	0.0304092364219	0.12494450893	0.242995763286	0.358039017705
a37	0.0150219219272	0.0126340521211	0.0238533209953	0.00864060597693	0.0130631711169	0.0230181094323	0.0345096808236	0.0567716479141	0.0556364618188	0.0557971988073	0.14043679431	0.201388024429	0.359229039235
a31	0.0138722043091	0.013617794707	0.0237221166651	0.00799740099231	0.012656262039	0.0199320198108	0.0322980302745	0.0546467309714	0.0573024772729	0.0610717696024	0.116718406103	0.209679868143	0.376484903078
a17	0.00924545443637	0.0124540742357	0.015045745555	0.00611326233077	0.0110956633463	0.0163220139369	0.0261866900915	0.0439457026571	0.044666810091	0.0588698432008	0.117520922034	0.244277196048	0.394256601026
a31	0.00911910947879	0.0150614907452	0.0154882018517	0.00543683944359	0.0108366021154	0.0142452866456	0.0253983140305	0.049854355219	0.0465563110303	0.0598331377336	0.112870910678	0.244125668683	0.391173790342
a18	0.00907228082626	0.0168451115817	0.0161007582839	0.00528746524786	0.0110054957051	0.0149506395485	0.0279438823435	0.0569308817397	0.0520606136768	0.0665659892445	0.118769416893	0.235520349561	0.368947143447
a37	0.00692771260875	0.0116054307272	0.0116010967613	0.00355835568262	0.00765219223503	0.0127295066162	0.0218911531145	0.0476487205799	0.0687306925589	0.141121923082	0.156152965631	0.214868529854	0.295511727816
a20	0.00472124406958	0.0072400904424	0.00904232925377	0.00238237642754	0.00510384524501	0.0107496276387	0.0217952187048	0.04417288686	0.102410362186	0.234524784361	0.185949891877	0.169915113285	0.201992242605
a31	0.00511007522319	0.00885969081413	0.0171841254179	0.00469956017585	0.006565828915	0.0108818805462	0.0264034202349	0.04261744162	0.0953732533953	0.198930001454	0.164111943959	0.181041354428	0.238221460868
a11	0.0050187262744	0.00955961793804	0.0190735309393	0.00537089049195	0.00671572597167	0.00891037418207	0.0222039914116	0.0499010972067	0.0893163504651	0.147715393818	0.14439339132	0.216391158143	0.275429770289
a31	0.0040045720248	0.00792722731268	0.0200300197798	0.010598763264	0.00922493065722	0.00954744506069	0.0186075634705	0.0462123744022	0.0930538714884	0.138537661273	0.13462587044	0.218363926048	0.28926580343
a8	0.00605402140827	0.0127229351042	0.0325615315933	0.0159215797547	0.0118328358857	0.0111693933536	0.0198598421568	0.0340527638007	0.0719672558295	0.129325043758	0.11106815148	0.214767915349	0.32869675781
</S>	0.00744908770414	0.0163820260521	0.0368058007966	0.0140553028774	0.0100689489429	0.0107840846768	0.0213799125784	0.0355357104004	0.0666245839147	0.146937056879	0.11329076774	0.206106447674	0.314580278905
