 	deve	che	entra	da	qui	</S>
a31	0.21718049	0.34304432	0.14270118	0.10504048	0.10380149	0.0882320865
a21	0.23479852	0.32107375	0.160590683333	0.124638226667	0.106943903333	0.0519549615
a31	0.267552206667	0.241518186667	0.140086744444	0.178686055556	0.134450644444	0.0377061841667
a20	0.201500615556	0.179903505556	0.148027764815	0.228060165185	0.200392291481	0.0421156500556
a11	0.129781760185	0.123539745185	0.143213521605	0.270348451728	0.272949860494	0.0601666600185
a31	0.102696803728	0.123490161728	0.166954250535	0.246857073909	0.272129210165	0.0878725166728
a37	0.0933419632427	0.131145560576	0.205192980178	0.251825064636	0.220124350055	0.0983700955576
a31	0.0669123554142	0.112596225192	0.161716280059	0.231190064879	0.270808356685	0.156776711853
a8	0.0354671334714	0.102180494731	0.118294906686	0.177889928293	0.364861735562	0.201305817284
a31	0.0198565483238	0.0739797029103	0.0891623522287	0.147632065098	0.325878828521	0.343490542428
a46	0.0114000878746	0.0427334383034	0.0574291840762	0.111123914033	0.33116656284	0.446146820809
a31	0.0066894500582	0.0254453661678	0.0423607281921	0.101022717011	0.31512120428	0.509360533603
</S>	0.0044519882791	0.0145033621839	0.0247923743461	0.0724690370055	0.24673229714	0.637050946801
