 	ora	ho	finito	di	scrivere	</S>
a23	0.204412837	0.324091265	0.0877236825	0.07408093	0.136178355	0.17351289
a31	0.309368169	0.414221508333	0.0470385045	0.047717332	0.087424095	0.094230338
a28	0.391078086333	0.402568229444	0.0481041135	0.0309621796667	0.062856824	0.0644305396667
a31	0.414683845444	0.375428343148	0.0688968165	0.0165444638889	0.0607989936667	0.0636475488889
a41	0.323984635148	0.370751157716	0.0793298841667	0.00832974172963	0.0700211578889	0.14758343963
a21	0.207741438383	0.297791539239	0.0808876847222	0.00451552907654	0.103012825963	0.30605100321
a24	0.160158606128	0.22966524308	0.0827612382407	0.00413101162551	0.154109921988	0.36917401107
a31	0.268463378709	0.231667917693	0.0654581794136	0.0141648057418	0.128582820663	0.291662900357
a39	0.295469256236	0.227702659231	0.0446637074712	0.0216134049139	0.103484930221	0.307066030119
a31	0.230052778745	0.21499990641	0.0325773404904	0.027458704638	0.126846313407	0.368064913373
a28	0.224435179582	0.18117591547	0.0220792671635	0.0475890732127	0.181563744469	0.343156774458
a31	0.166128789861	0.12804551849	0.0197033860545	0.0702466710709	0.26621332149	0.349662298153
a20	0.12334820662	0.0945686261633	0.0178114220182	0.122194187024	0.308145670497	0.333931869384
a37	0.184256622207	0.112403125388	0.0153150103394	0.144920212341	0.262972923499	0.280132096461
</S>	0.246913721104	0.136839582694	0.0166459301697	0.126225116171	0.210951736749	0.262423923231
