 	i	bambini	non	possono	mangiare	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
a31	0.03504249	0.0337741	0.033885583	0.035339314	0.041742772	0.04356578	0.05848225	0.056796975	0.051521074	0.0595249	0.10888332	0.14795	0.16830848	0.1251829
a27	0.05231987	0.037902597	0.054292686	0.07317629	0.1013903	0.09899972	0.10612188	0.0805357	0.062366445	0.1001912	0.06545172	0.059608333	0.054258294	0.05338496
a20	0.019548805	0.015821122	0.014790992	0.050441567	0.06781249	0.06488634	0.08377599	0.08797083	0.06399972	0.07453248	0.06978001	0.10149105	0.14459829	0.14055036
a31	0.05297866	0.03925321	0.047781628	0.067785054	0.096213564	0.09668843	0.086647384	0.107633874	0.10403648	0.09317689	0.051527154	0.05432213	0.05308766	0.048867878
a37	0.05889312	0.040108584	0.048865307	0.0847483	0.074610256	0.06968424	0.085533544	0.11124574	0.12460577	0.10082342	0.05340235	0.052933987	0.05468766	0.039857745
a31	0.04764888	0.043027893	0.03556019	0.07552929	0.09442576	0.08002549	0.09849844	0.10659758	0.09724062	0.100634165	0.059474166	0.061169203	0.058369637	0.04179865
a27	0.054948337	0.04438621	0.04190249	0.08473989	0.080597825	0.06627823	0.08642217	0.11001395	0.11183891	0.10537822	0.054973967	0.057168067	0.0597542	0.041597527
a37	0.049657796	0.046308495	0.03923688	0.07255283	0.08971785	0.08239099	0.11843935	0.09316571	0.07717751	0.11630482	0.06672734	0.061458506	0.049783204	0.03707868
a31	0.081820816	0.0656108	0.04919021	0.07076532	0.07732847	0.08133654	0.08424059	0.093108706	0.11737257	0.12159677	0.043438025	0.047724415	0.037903067	0.028563665
a22	0.05633943	0.050068244	0.03775065	0.078867294	0.08841555	0.072389886	0.091968775	0.10946057	0.0982063	0.10813373	0.05762051	0.05950153	0.054775596	0.03650193
a31	0.088923745	0.077124216	0.051875096	0.076139756	0.08551957	0.100470066	0.07936338	0.07937421	0.10332801	0.095153496	0.04239513	0.04726219	0.03611531	0.03695583
a20	0.05600518	0.05099317	0.03734377	0.075784266	0.08834009	0.07494206	0.09622228	0.10473013	0.09140631	0.107364826	0.059792805	0.06326541	0.055521723	0.03828808
a31	0.087027706	0.064433925	0.06134762	0.11042189	0.10076745	0.08846295	0.07157904	0.07124289	0.09498775	0.094394356	0.039996486	0.043818396	0.03706909	0.03445046
a37	0.062628336	0.05905792	0.04047814	0.07670601	0.08597578	0.075156786	0.08801446	0.09562638	0.08125049	0.11084188	0.05616108	0.063035496	0.05848177	0.04658551
a31	0.09253275	0.06962009	0.065005295	0.11397803	0.09976903	0.08740815	0.06730553	0.06818323	0.09364848	0.085065864	0.040070284	0.043360617	0.037887745	0.036164876
a3	0.0747745	0.07085101	0.045731086	0.07155489	0.080626376	0.07655872	0.08011065	0.08818194	0.073827155	0.11521642	0.052563466	0.061034434	0.059338816	0.049630526
a31	0.083549224	0.07384531	0.056814194	0.082284376	0.09663223	0.106746174	0.08681026	0.07363779	0.0825713	0.073583454	0.0510447	0.051003955	0.03867176	0.04280525
a18	0.09508684	0.086402036	0.06155242	0.060528733	0.076963484	0.07930684	0.069732755	0.07525425	0.06743299	0.11463119	0.049930144	0.057765562	0.056838054	0.04857473
a31	0.09935089	0.09087705	0.056973033	0.07018331	0.08601067	0.11160406	0.077283256	0.0741056	0.08137984	0.067722864	0.046611868	0.051394053	0.040423013	0.04608049
a39	0.10028296	0.090579115	0.06896831	0.058388527	0.08040181	0.0809932	0.065652125	0.06723935	0.060437437	0.100305416	0.051274166	0.059378274	0.060325522	0.055773765
a8	0.10112317	0.09091671	0.06167007	0.06011148	0.08493159	0.11278016	0.07738739	0.070012	0.064867854	0.06375251	0.04821471	0.057414312	0.04897883	0.05783919
a21	0.039207503	0.039828993	0.029983347	0.02648848	0.045909278	0.053474806	0.09459458	0.09833627	0.059973933	0.12067184	0.052821834	0.085433714	0.14508222	0.1081932
a31	0.019678984	0.019467013	0.019435547	0.035961006	0.047192506	0.0396583	0.071225576	0.071969174	0.037257362	0.110434465	0.09443305	0.1415689	0.15737589	0.13434225
a28	0.11551013	0.08870081	0.08345028	0.077207714	0.058966193	0.057999004	0.06473278	0.07557241	0.070428915	0.12136198	0.0486729	0.04534535	0.050412625	0.041638996
a37	0.03578965	0.035101537	0.03151048	0.038912844	0.06262681	0.057433557	0.08351409	0.077265054	0.036215276	0.08665371	0.06991879	0.13854769	0.13505286	0.11145763
a20	0.032289688	0.030717842	0.02799637	0.04872633	0.073103815	0.06643116	0.08463757	0.077672124	0.04440985	0.07830269	0.06433814	0.14190528	0.12507553	0.10439365
a31	0.033626035	0.030497748	0.02868012	0.054219276	0.076993324	0.073001534	0.077542536	0.072190434	0.05118411	0.072310776	0.06155244	0.14118654	0.12179204	0.10522312
a28	0.11061001	0.08800488	0.067924984	0.07069273	0.05311714	0.057485238	0.06867007	0.084751256	0.0713336	0.12872031	0.048884995	0.04915836	0.055631086	0.045015313
a20	0.031552885	0.030847535	0.028319241	0.031850968	0.058230393	0.048561838	0.08035555	0.07972437	0.030378934	0.08796305	0.086799175	0.13791108	0.14439462	0.123110354
a31	0.030275214	0.029242242	0.026364826	0.037720144	0.06600643	0.0585786	0.08263597	0.079098746	0.03251023	0.0788662	0.07616008	0.1426028	0.13871536	0.12122316
a20	0.123499826	0.09748434	0.073173486	0.073344946	0.06408038	0.062531225	0.0626191	0.07080969	0.06579942	0.10320762	0.050412342	0.048694912	0.055057917	0.049284764
a17	0.03627609	0.035474133	0.03357276	0.031069426	0.050675668	0.04127729	0.076709695	0.07354572	0.031364188	0.09330015	0.102456786	0.12151033	0.14664978	0.126118
a13	0.040620442	0.040610183	0.034496002	0.029382	0.04510293	0.044165485	0.07781669	0.07953001	0.044228226	0.11891937	0.07437127	0.10837733	0.14325018	0.11912985
a31	0.02600435	0.025377182	0.024909502	0.029761203	0.04794001	0.036818862	0.072101995	0.06754279	0.029431531	0.109382905	0.120647706	0.11873989	0.14967176	0.14167036
a13	0.12720549	0.09921338	0.07780624	0.07999441	0.07410541	0.065530986	0.06011966	0.06370114	0.0616176	0.08471504	0.050800372	0.048746318	0.054396845	0.052047096
a28	0.041068666	0.039634842	0.037081186	0.031451594	0.045067497	0.041493673	0.07040224	0.07010438	0.04424291	0.115076065	0.103258856	0.10957058	0.13457258	0.11697491
a31	0.033198573	0.032765653	0.030752309	0.030408412	0.053673428	0.043559525	0.08161194	0.077579126	0.03160847	0.10252296	0.09321298	0.115006596	0.14598821	0.12811182
a41	0.12836324	0.09998124	0.077380165	0.07776094	0.082443304	0.06922323	0.058705308	0.059941415	0.054447412	0.07351644	0.05213709	0.05154351	0.057206977	0.05734971
a8	0.0472614	0.04528147	0.043177202	0.03613594	0.04498489	0.044317517	0.05928895	0.060831863	0.047808193	0.1085134	0.10491813	0.1126089	0.13092688	0.11394528
a33	0.03847043	0.038300328	0.03403233	0.027201053	0.03746313	0.04023373	0.06261898	0.06820882	0.05490297	0.1168479	0.089206256	0.13352178	0.1508568	0.108135484
a31	0.043235943	0.04277137	0.042351626	0.04043448	0.044036962	0.043657888	0.052865524	0.055531483	0.052092753	0.09668365	0.09599335	0.12440368	0.13962373	0.12631762
a20	0.107008874	0.08912261	0.07756825	0.055557646	0.07807602	0.07679545	0.07123546	0.058177583	0.038881004	0.05004213	0.057234157	0.06790061	0.07986606	0.09253416
a33	0.053107847	0.04891263	0.047272462	0.040786967	0.04503123	0.046089705	0.050588954	0.0546391	0.051775005	0.1083455	0.106795885	0.110953696	0.124840386	0.110860564
a24	0.043246333	0.042909935	0.040263634	0.03153587	0.040313296	0.04346598	0.05549746	0.062294796	0.058736823	0.10512803	0.0891853	0.1310703	0.14383136	0.112520896
a31	0.042337097	0.040144507	0.03959399	0.03905805	0.042926155	0.040993363	0.052028995	0.04986688	0.042712804	0.094405726	0.12504148	0.11764753	0.13985315	0.13339026
a20	0.12139751	0.09803975	0.07777154	0.061523296	0.086042516	0.07782307	0.06626964	0.05453432	0.040218256	0.0541144	0.056462765	0.06372527	0.067171775	0.0749059
a31	0.05131769	0.047973823	0.046271857	0.03913488	0.04448169	0.044554576	0.053814717	0.05624704	0.047276504	0.10339875	0.11010842	0.113543995	0.12925106	0.11262494
a13	0.13391128	0.10650565	0.07909493	0.04924554	0.073951006	0.06746089	0.0688112	0.0537657	0.03848933	0.05197436	0.057721667	0.063026935	0.07373484	0.08230669
a3	0.055181716	0.049818426	0.0474974	0.039745055	0.045749865	0.047545325	0.049626958	0.05300843	0.05330771	0.10700271	0.10559139	0.1088871	0.12221647	0.114821434
a31	0.047014717	0.044455007	0.043300316	0.03967079	0.045436908	0.044577427	0.054020014	0.05283548	0.04654285	0.09722739	0.11391875	0.11207043	0.13225606	0.12667382
a10	0.12142073	0.09811752	0.077768005	0.061806332	0.08577427	0.076506324	0.06556917	0.054032218	0.0396603	0.05329764	0.056247763	0.0641805	0.06884566	0.07677353
</S>	0.054361742	0.050083153	0.048282783	0.040413573	0.044583544	0.045847025	0.050244384	0.05358933	0.049511332	0.10476183	0.10915814	0.11175873	0.12621327	0.11119116
