 	allora	io	ora	sto	studiando	di	maestra	ma	ho	una	sorella	mia	sorella	studia	quest	anno	che	viene	per	medico	</S>
a31	0.035702366	0.030749386	0.035701387	0.03289665	0.038302533	0.040544126	0.043886118	0.03434919	0.03663794	0.041324645	0.034869477	0.0329964	0.028412506	0.026583103	0.03419702	0.043405756	0.05315845	0.072320774	0.10535887	0.1104438	0.088159434
a17	0.052004844	0.041367266	0.04403548	0.05379509	0.06264889	0.06867301	0.07463471	0.05916944	0.05637733	0.058136836	0.052442964	0.049732562	0.038652837	0.018990654	0.04097428	0.03500742	0.024837263	0.031931162	0.040331155	0.06110276	0.035154127
a31	0.043756302	0.034926903	0.04131589	0.04007289	0.051788747	0.06304495	0.07223516	0.068614066	0.06448026	0.06570144	0.04331267	0.040213272	0.028670905	0.01823886	0.03176141	0.027966926	0.017557614	0.03594373	0.059698652	0.08877855	0.061920784
a17	0.09092393	0.06680652	0.07652638	0.06721999	0.065589495	0.06204938	0.06268656	0.0681206	0.06484892	0.072585545	0.06634629	0.058151685	0.034564316	0.012022241	0.020772526	0.019085774	0.008558528	0.014621476	0.019953929	0.031857874	0.016708016
a31	0.054088388	0.03843764	0.056862827	0.044017017	0.06105408	0.07502259	0.08778482	0.09396027	0.08170115	0.0933774	0.06016269	0.050888192	0.029415773	0.015614358	0.027046993	0.022811517	0.015199374	0.01757973	0.023619493	0.031801995	0.019553794
a34	0.05015637	0.040682983	0.04919536	0.056046523	0.07450433	0.08162655	0.089755535	0.075048305	0.07258474	0.08492405	0.052257195	0.045546208	0.028917018	0.012361059	0.02232038	0.021733034	0.011261602	0.019507635	0.03672186	0.045316856	0.029532341
a1	0.05230868	0.043685853	0.049321	0.053402353	0.06831129	0.077104755	0.087996975	0.06721851	0.06397293	0.07704784	0.05056739	0.045641992	0.03363584	0.017822254	0.026586879	0.027698917	0.013909144	0.025617046	0.040533435	0.04370865	0.03390823
a35	0.063849956	0.04601439	0.06415676	0.03909122	0.045100387	0.058798462	0.075110465	0.089819916	0.07329509	0.077578284	0.06470487	0.051990446	0.036525793	0.028693851	0.031045659	0.027504535	0.022571674	0.018714415	0.026147787	0.035449244	0.023836778
a31	0.06253588	0.0506407	0.062051192	0.040477253	0.04223893	0.05513585	0.07389111	0.07980805	0.07237317	0.074307874	0.06152295	0.055089526	0.041936394	0.020042295	0.023623673	0.022240361	0.018660959	0.02322979	0.036490455	0.051598147	0.032105424
a20	0.04817998	0.041373953	0.047057156	0.048521694	0.066289745	0.08318771	0.10180187	0.07109151	0.06590222	0.0767352	0.046671618	0.04272582	0.03317627	0.016789423	0.024346502	0.024673816	0.015443082	0.023430157	0.042469025	0.046347655	0.03378554
a17	0.06584622	0.043912824	0.05762373	0.04798178	0.054819018	0.061586753	0.06781091	0.08229371	0.075286776	0.08481753	0.068182886	0.05595112	0.041957743	0.035026334	0.034353133	0.03092274	0.019923517	0.016892377	0.017394427	0.021914756	0.015501699
a20	0.07003203	0.051637877	0.069732584	0.03926738	0.039146047	0.04999149	0.06540574	0.08165059	0.06854654	0.06893319	0.06742325	0.059164625	0.042755913	0.025643619	0.02846785	0.022524573	0.02051364	0.022713367	0.03246334	0.04255869	0.031427767
a8	0.07475754	0.05167267	0.06267876	0.042891998	0.04865168	0.061440714	0.07337275	0.083303966	0.07346769	0.07359204	0.059116215	0.051943474	0.038345195	0.026361614	0.027687812	0.023640342	0.021345804	0.017457675	0.026323104	0.03958916	0.022359824
a31	0.050931912	0.039187003	0.05360443	0.039591957	0.048257057	0.059335615	0.07716985	0.05793223	0.05555783	0.06465652	0.05222812	0.04860127	0.03937124	0.014482383	0.026821539	0.02212607	0.017059267	0.042879645	0.057993803	0.06916161	0.06305067
a24	0.05572607	0.045542013	0.04907949	0.050137907	0.062128335	0.07119205	0.08448302	0.07298646	0.062746316	0.06726554	0.05297739	0.047394462	0.03664852	0.019845322	0.02721207	0.02887328	0.020702463	0.024527663	0.03900242	0.04983805	0.031691123
