 	questa	casa	la	costruirono	cinquanta	anni	fa	</S>
a8	0.101781008	0.096248105	0.09101699	0.101380125	0.07528309	0.156246015	0.200081715	0.177962935
a31	0.173683321333	0.137561621667	0.11536506	0.118211471667	0.060866289	0.113758902667	0.156180777333	0.124372555
a8	0.214784473778	0.158058797222	0.118672786667	0.120612033889	0.075811422	0.0811578352223	0.122867141444	0.108035521667
a31	0.216177414593	0.161730855741	0.130133865556	0.123316747963	0.081304865	0.0715779584074	0.112619142148	0.103139149556
a20	0.230655158198	0.17712110858	0.158547781852	0.153203845988	0.070206911	0.0637821428025	0.079017160716	0.067465868852
a31	0.237971459399	0.181055046193	0.160690463951	0.157461545329	0.0728756166667	0.0626293709342	0.0689523219053	0.0583641396173
a24	0.2455403098	0.192529462064	0.15659808465	0.137286978443	0.0743006068889	0.0692731136447	0.0665347873018	0.0579366532058
a31	0.240001279933	0.201110380688	0.147842064883	0.127001709481	0.0743265356296	0.0775456812149	0.0712801311006	0.0608922260686
a28	0.250148899978	0.194130733563	0.140595240294	0.120164801827	0.0885650952099	0.075434575405	0.0698392173669	0.0611214303562
a17	0.251280439993	0.186201894521	0.132500475431	0.107916365942	0.09895302507	0.075327320135	0.0732623441223	0.0745581184521
a31	0.240989859998	0.194769881507	0.144934378477	0.102935888647	0.08046156169	0.0738894767117	0.0804377380408	0.0815811811507
a28	0.246752013333	0.191442600502	0.142943604826	0.103345272882	0.0796208605633	0.0765680222372	0.0800779326803	0.0792496770502
a13	0.255504647778	0.196665740167	0.133699270275	0.100316090961	0.0830106268544	0.0745548174124	0.0763689908934	0.0798798223501
a31	0.250288165926	0.203681360056	0.146243023425	0.10267983032	0.0716792506181	0.0698843724708	0.0757039919645	0.0798399861167
a23	0.255844495309	0.207799466685	0.149637807808	0.10148610344	0.0676115585394	0.0671366608236	0.0737382156548	0.0767456557056
a31	0.25740782177	0.207339638895	0.150847829269	0.101662137813	0.0671202095131	0.0657121336079	0.0724205052183	0.0774896835685
a18	0.258743947257	0.206092006298	0.150591949756	0.100846495938	0.0662296865044	0.066627334536	0.0726336200728	0.0782349278562
a31	0.261908642419	0.207860728766	0.149524849919	0.097858853646	0.0648694988348	0.0667617948453	0.0720287250243	0.0791869059521
a18	0.260226857473	0.210966579589	0.153186389973	0.0986272862153	0.0594313652783	0.0674141682818	0.0707945883414	0.079352751984
a31	0.258214275824	0.210143409863	0.153945783324	0.0990254020718	0.0563493167594	0.0680638527606	0.0703601847805	0.083897757328
a24	0.249112705275	0.204639296621	0.157956451108	0.103057037357	0.0522510249198	0.0723642075869	0.0758973002602	0.084721957776
a17	0.211175688425	0.188076458874	0.151387017036	0.112630689119	0.0427872049733	0.095881172529	0.109130556753	0.0889311679253
a20	0.157094602808	0.148591237958	0.131158442345	0.111211714373	0.0365459593244	0.128094630843	0.154717228918	0.132586165975
</S>	0.133677816404	0.128820636479	0.119300011172	0.103917299187	0.0335444411622	0.141573800422	0.172982539459	0.166183472987
