 	il	morto	vuole	pianto	</S>
a31	0.18396134	0.23010941	0.19585336	0.189971975	0.200103915
a28	0.190081973333	0.297597676667	0.210576673333	0.159726951667	0.142016708333
a17	0.172172781111	0.331939425556	0.227100994444	0.146955840556	0.121830936111
a31	0.20387245037	0.361419688519	0.214644494815	0.122539033519	0.097524300037
a20	0.26563680679	0.35692656284	0.192858141605	0.102319319173	0.0822591530123
a0	0.284502152263	0.288413127613	0.195840670535	0.127234824391	0.104009242671
a31	0.290686100754	0.256768722538	0.196896303512	0.14135860313	0.114290287557
a13	0.296138960251	0.246984167513	0.199324777837	0.146214509377	0.111337582519
a6	0.282126670084	0.220386202504	0.204975179279	0.160427039792	0.132084914173
a31	0.297847986695	0.229129207501	0.198390413093	0.149424519931	0.125207881391
a46	0.310590602232	0.2188262725	0.194698164364	0.15227240331	0.12361255713
a37	0.327247100744	0.2033621675	0.184242461455	0.155889601103	0.129258659043
a31	0.358585480248	0.208385455833	0.177146410485	0.144608527034	0.111274096348
a46	0.365732283416	0.204243485278	0.167943076828	0.141859009011	0.120222105449
a31	0.367132197805	0.192032088426	0.162828998943	0.147656613004	0.13035005015
a46	0.391539725935	0.204180749475	0.147361479648	0.133057261001	0.123860751717
a8	0.374338388645	0.237890729825	0.133014449883	0.120216413667	0.134539997239
a31	0.343517402882	0.228928756608	0.145102679961	0.131035551222	0.151415602413
a8	0.325858487627	0.216795468869	0.151310236654	0.145036003741	0.160999824138
</S>	0.296926133813	0.224814219435	0.155772768327	0.15772141187	0.164765487069
