 	voglio	che	Maria	venga	domani	</S>
a31	0.107920215	0.10488837	0.1308137	0.40842888	0.1211363	0.1268125
a35	0.21083249	0.19748317	0.13540517	0.39034876	0.037764497	0.028165895
a31	0.239645	0.23191436	0.16207008	0.28527018	0.045229588	0.035870764
a37	0.25991997	0.2461585	0.14701755	0.29467753	0.034291968	0.017934455
a31	0.24850824	0.2313061	0.12014376	0.35883096	0.025634645	0.015576262
a11	0.22780618	0.22122778	0.09557037	0.391512	0.039113484	0.024770236
a31	0.18437754	0.1776988	0.078483626	0.4894787	0.04176804	0.028193254
a20	0.13892116	0.13891768	0.063707404	0.53022474	0.07487745	0.053351577
a13	0.139724	0.14069712	0.07858069	0.50751233	0.07871323	0.054772627
a20	0.11147878	0.11306526	0.068429746	0.51255375	0.107491374	0.086981095
a31	0.09285669	0.09324836	0.060796145	0.55944	0.10183967	0.091819145
a18	0.07323816	0.07347919	0.06548667	0.5112804	0.14093877	0.13557678
a31	0.09789892	0.100600235	0.08607587	0.38843784	0.17455222	0.152435
a36	0.08519111	0.085648365	0.08964219	0.3600475	0.19098823	0.18848261
a31	0.09283615	0.09404129	0.09062612	0.33456406	0.20029137	0.18764101
a20	0.09233696	0.09322534	0.10965553	0.28114858	0.2123412	0.21129231
a31	0.09715609	0.09764806	0.10086182	0.2602154	0.22446316	0.21965544
a20	0.0973367	0.09941049	0.1343385	0.23133828	0.21899238	0.21858363
a31	0.09870246	0.09932041	0.1101124	0.23403259	0.22986251	0.2279697
</S>	0.09964279	0.10338998	0.15281689	0.21607488	0.2141346	0.21394093
