 	non	ha	che	li	aspettiamo	</S>
a46	0.20135747	0.18969843	0.18788926	0.22497322	0.09538728	0.100694425
a31	0.3333933	0.16782089	0.14817151	0.28836092	0.020700222	0.04155312
a15	0.32144025	0.17417467	0.15247187	0.281042	0.02900934	0.041861814
a31	0.32201642	0.1818849	0.17712218	0.27130577	0.019773	0.027897667
a28	0.35038266	0.15810914	0.13994396	0.2889478	0.02377449	0.03884191
a20	0.39387527	0.13532117	0.11349663	0.29872283	0.021237258	0.037346818
a11	0.41822058	0.11451139	0.09151031	0.29104048	0.033148926	0.051568355
a31	0.41531882	0.10663323	0.08534228	0.29225442	0.0428204	0.057630867
a11	0.24644546	0.13641956	0.11259949	0.24964538	0.12258853	0.13230145
a31	0.25798059	0.14252155	0.10811307	0.22063868	0.11807899	0.1526671
a46	0.14148748	0.16181548	0.12183943	0.20457582	0.18132567	0.18895611
a31	0.13016403	0.14840744	0.118096754	0.17456205	0.20569842	0.22307128
a11	0.116621144	0.15163995	0.1334153	0.18385658	0.20473884	0.20972824
a31	0.11757994	0.13196634	0.1217401	0.16193578	0.22377995	0.24299791
a11	0.11965802	0.15377176	0.14919461	0.18163815	0.19686905	0.19886844
a46	0.11192273	0.13533157	0.13182822	0.17500709	0.2192698	0.22664063
</S>	0.15230829	0.16559191	0.16499372	0.17107765	0.17289916	0.17312934
