 	mia	sorella	quest	anno	che	viene	vuole	diventare	dottoressa	</S>
a31	0.09465802	0.04840175	0.05536881	0.117683895	0.12502551	0.14273563	0.2064028	0.09460786	0.029184237	0.085931435
a41	0.08664485	0.063451335	0.09712125	0.16856581	0.1687229	0.14840718	0.17121382	0.075118095	0.005300378	0.015454388
a31	0.11051948	0.07999669	0.10558862	0.18301529	0.16098057	0.12877402	0.15203816	0.05995886	0.004249249	0.0148791615
a20	0.08838829	0.088457964	0.122404374	0.17767532	0.15799558	0.1384802	0.151739	0.062324703	0.0056127813	0.006921741
a31	0.07629737	0.08175661	0.124207824	0.18192033	0.16576405	0.14444263	0.16059534	0.054133914	0.004798694	0.006083173
a37	0.055772968	0.081023306	0.13088796	0.18571796	0.16663003	0.14711422	0.16282205	0.056884155	0.0065895226	0.006557901
a16	0.050668284	0.065677695	0.13195643	0.19339605	0.1739078	0.15389322	0.1674515	0.050028306	0.0067451545	0.006275536
a35	0.06738376	0.059864566	0.12466117	0.19199514	0.16895692	0.14383486	0.166034	0.06527281	0.005510218	0.006486639
a24	0.071904205	0.052839667	0.11097924	0.18910073	0.17405632	0.14488533	0.17421313	0.06889617	0.0049855993	0.008139538
a31	0.09770475	0.06159006	0.1073054	0.17320192	0.1643895	0.14606954	0.16255662	0.07311376	0.0040652514	0.010003103
a39	0.033749238	0.042430066	0.13902356	0.18896054	0.17674263	0.16840054	0.17843404	0.05081721	0.011785643	0.009656508
a31	0.040231332	0.040393706	0.1318021	0.18687382	0.17904946	0.16748677	0.18281461	0.05616209	0.008107854	0.007078238
a20	0.026243202	0.036577567	0.16580889	0.16560718	0.16768529	0.17616571	0.17246632	0.058424525	0.018369725	0.012651472
a31	0.032494172	0.038767908	0.16095142	0.14832094	0.16314334	0.18386409	0.17961113	0.06366126	0.017064309	0.012121429
a3	0.031288292	0.038320873	0.18283856	0.13604894	0.15227023	0.17969874	0.15520824	0.07524043	0.029109802	0.019975992
a20	0.03686532	0.0429112	0.17227018	0.13086781	0.14984599	0.18712373	0.16771112	0.070579484	0.024404446	0.01742074
a31	0.034525458	0.039355733	0.15523903	0.129927	0.14653696	0.1983488	0.18035227	0.06642739	0.028042145	0.021245243
a37	0.04131081	0.041900482	0.16587475	0.12205489	0.12835859	0.17247964	0.14881982	0.081556275	0.056946225	0.040698513
a31	0.053161923	0.054423835	0.16469206	0.12692443	0.12727617	0.1672446	0.13778113	0.08515063	0.04669965	0.036645636
a20	0.06010466	0.057352938	0.13372526	0.118355505	0.099893205	0.14188492	0.11521597	0.10486873	0.09218045	0.076418385
a28	0.064651534	0.06511465	0.14013498	0.13097048	0.10908021	0.14050508	0.105050065	0.10102301	0.07661293	0.06685708
a31	0.06166524	0.061848976	0.105797715	0.11724326	0.09084482	0.11198974	0.10562865	0.12137032	0.11550686	0.10810444
a20	0.06598364	0.06651793	0.08441558	0.09101144	0.076516055	0.09975891	0.10442595	0.14525647	0.13652971	0.1295843
a31	0.07012477	0.07020839	0.09888803	0.11183905	0.08642313	0.09996131	0.09483906	0.12126397	0.1277525	0.118699744
a33	0.06763269	0.071079604	0.072077505	0.07853056	0.073823296	0.08811502	0.1122215	0.1494146	0.14514428	0.14196093
</S>	0.068667345	0.072900355	0.072648235	0.08551437	0.076269075	0.08446059	0.11216225	0.13366237	0.14826164	0.14545375
