 	l	ho	sentito	che	veniva	</S>
a41	0.20192859	0.20055473	0.20640959	0.20970227	0.12422366	0.057181165
a31	0.1895902	0.18614282	0.22739485	0.2275112	0.1389981	0.030362936
a24	0.22281396	0.20201243	0.2565129	0.2772781	0.035346456	0.006036169
a15	0.23162547	0.20572226	0.2543479	0.27539027	0.027778106	0.005136059
a28	0.24954356	0.15858859	0.26265663	0.29233164	0.026651343	0.010228198
a0	0.30036694	0.13516527	0.23938634	0.26757628	0.037811045	0.019694094
a31	0.30200893	0.14012781	0.24237534	0.2562759	0.037161063	0.022051048
a11	0.23622155	0.15868314	0.19982179	0.24068202	0.08725256	0.07733898
a31	0.23497726	0.15701601	0.20443338	0.24812092	0.08262192	0.07283047
a39	0.17700872	0.16485731	0.17398569	0.18527053	0.15041739	0.14846042
a20	0.17149481	0.16479643	0.17184818	0.18976924	0.15166628	0.15042505
</S>	0.17309967	0.16880403	0.17746837	0.21056166	0.13646773	0.13359861
