 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.13870247	0.13749011	0.14823075	0.13812199	0.14797403	0.13843594	0.15104471
a31	0.009662315	0.010779154	0.07656467	0.14093128	0.059668157	0.49051753	0.21187685
a6	0.015829086	0.014660905	0.06289853	0.12199306	0.05100726	0.5354065	0.19820474
a31	0.119287945	0.049601085	0.23111579	0.20945466	0.14568764	0.109343916	0.13550901
a37	0.10862511	0.10138779	0.12235777	0.100838	0.17430662	0.22024438	0.1722404
a31	0.10045001	0.024359446	0.029188784	0.069561034	0.33334637	0.28400418	0.15909012
a17	0.07737491	0.03129336	0.033254314	0.06623917	0.5349936	0.12397427	0.13287047
a31	0.0040114406	0.0048762904	0.034685448	0.09669804	0.08738027	0.34270853	0.42963997
a17	0.016308233	0.008711756	0.019943029	0.12039113	0.25031543	0.24161275	0.34271765
a31	0.0032119905	0.0054424293	0.017032625	0.06281776	0.07283661	0.32779416	0.51086444
a8	0.01606069	0.019881757	0.015490833	0.059714757	0.13114873	0.3361425	0.42156076
a31	0.008565594	0.005952586	0.06426607	0.18340686	0.22502966	0.34832147	0.1644578
a28	0.048796322	0.033674393	0.13445032	0.1822366	0.122289866	0.20824766	0.2703048
a0	0.008193528	0.004624684	0.012573971	0.052479543	0.04748073	0.6501376	0.22450992
a41	0.011115585	0.009531982	0.091826975	0.14273754	0.09034716	0.51641834	0.13802245
a39	0.026518904	0.021257292	0.194833	0.1745647	0.10203717	0.30629045	0.17449854
a31	0.029066825	0.020730667	0.10225892	0.1195548	0.046653744	0.41969904	0.26203606
a39	0.049652014	0.027458495	0.43452704	0.17633285	0.09631624	0.14375116	0.07196229
a31	0.05235041	0.033998493	0.21078345	0.15879814	0.049945697	0.31028253	0.1838413
a18	0.05785366	0.052040096	0.65476924	0.05634265	0.09568695	0.0484134	0.03489396
a31	0.090626225	0.038645856	0.4792896	0.09806406	0.07310216	0.11841927	0.10185285
a18	0.09349195	0.11922577	0.34699818	0.08683025	0.21231051	0.07377816	0.06736516
a31	0.118292175	0.09266311	0.3903247	0.10827433	0.11215052	0.089718	0.08857715
a39	0.103070274	0.15083773	0.17911032	0.11244685	0.26605514	0.094046876	0.094432905
a41	0.11770145	0.12249888	0.29842132	0.11612809	0.13323763	0.10614788	0.105864726
a8	0.124820426	0.13247256	0.19812916	0.12593701	0.17746326	0.12074267	0.12043492
a31	0.14180961	0.13350014	0.15575512	0.1339794	0.16777943	0.13260421	0.13457204
a46	0.099112354	0.15375589	0.15007524	0.13146544	0.2683058	0.093041405	0.1042439
a8	0.1334087	0.11532223	0.26631954	0.12174425	0.1316324	0.11439546	0.117177434
</S>	0.13750459	0.1377795	0.14623581	0.13678086	0.17159134	0.13450111	0.13560681
