 	se	vieni	ogni	sabato	ti	compro	il	pane	</S>
a31	0.10639044	0.10671862	0.10938399	0.11853481	0.11640748	0.106700875	0.108271495	0.11104375	0.11654851
a29	0.12386941	0.0676795	0.090349585	0.061168388	0.21695714	0.050757106	0.15025353	0.08231485	0.15665042
a31	0.2699614	0.29818848	0.21965936	0.027702872	0.12002027	0.015031293	0.023130909	0.0113935815	0.014911802
a20	0.0810676	0.12763555	0.25011936	0.13045666	0.30305687	0.050050113	0.037620507	0.010911482	0.009081859
a31	0.10986214	0.26773125	0.29094765	0.08626521	0.11623414	0.007273505	0.03738447	0.037000433	0.04730125
a28	0.09002324	0.10241527	0.15771917	0.054568492	0.4897387	0.027611474	0.051430587	0.017030215	0.0094628045
a3	0.16569842	0.14783643	0.18736082	0.10400757	0.20913525	0.0069426326	0.06776252	0.046072423	0.06518396
a35	0.07656671	0.04808943	0.06873982	0.09002301	0.53161	0.010083244	0.08861192	0.03569836	0.0505775
a31	0.033521123	0.1009255	0.1512279	0.22468615	0.28196815	0.019880079	0.07303013	0.049781576	0.06497933
a20	0.022730196	0.01891122	0.019985864	0.03134699	0.7242407	0.016858162	0.07717535	0.03629125	0.052460343
a31	0.033248644	0.05556483	0.04428888	0.0934592	0.5947734	0.025652057	0.055268534	0.030373352	0.06737105
a28	0.044607684	0.06576615	0.05334412	0.04848524	0.60979503	0.021466427	0.069380105	0.032878768	0.05427648
a13	0.014654307	0.0480671	0.027783068	0.095494054	0.69144124	0.038871784	0.02329252	0.01946142	0.040934492
a41	0.012680445	0.036982518	0.041093234	0.05456714	0.6682334	0.035797518	0.035551827	0.05550557	0.059588294
a28	0.021808458	0.038317483	0.083973326	0.058328263	0.50961107	0.029462982	0.06566564	0.07159086	0.121241905
a31	0.04022237	0.054812487	0.11753725	0.06847188	0.44207987	0.039765082	0.05516893	0.058126193	0.12381594
a20	0.03828593	0.13834226	0.14086802	0.16840681	0.25166777	0.09672697	0.054762587	0.049323797	0.061615914
a31	0.03924921	0.053092413	0.11976871	0.14421085	0.29617304	0.10391231	0.06417108	0.061828103	0.117594294
a24	0.04033463	0.12096908	0.21785788	0.20500898	0.077672094	0.12951382	0.056959063	0.07520287	0.07648173
a46	0.048790064	0.054653157	0.12200592	0.13199586	0.19453119	0.09002942	0.09510773	0.10138813	0.16149858
</S>	0.063842975	0.09967131	0.1600135	0.16341615	0.06472829	0.07756963	0.08038848	0.150904	0.13946566
