 	sto	ancora	cucinando	</S>
a20	0.24550952	0.24909468	0.2533552	0.25204054
a31	0.03561344	0.29039085	0.38758662	0.2864091
a37	0.043390326	0.34850156	0.33710188	0.27100626
a20	0.057040446	0.31923795	0.4359706	0.18775102
a31	0.078432225	0.2653448	0.50976086	0.14646214
a30	0.15686382	0.22251251	0.49586543	0.12475818
a46	0.16371097	0.5488129	0.18377556	0.10370056
a31	0.5184019	0.18983385	0.12835783	0.1634064
a39	0.34616607	0.23113619	0.20447198	0.21822578
a15	0.40125838	0.20769805	0.096969485	0.29407406
a20	0.52538913	0.19779167	0.13494281	0.14187643
a22	0.5743277	0.11536927	0.19450898	0.11579404
a31	0.6322958	0.122213244	0.12320796	0.12228303
a46	0.441775	0.1618862	0.23567821	0.1606606
</S>	0.58129996	0.14035732	0.13880098	0.13954179
