 	è	pericoloso	di	nuotare	nella	notte	</S>
a31	0.14051068	0.14040747	0.14060257	0.14055313	0.14039066	0.14196363	0.15557185
a20	0.03794213	0.0215209	0.10766789	0.08403247	0.09862648	0.30739126	0.3428189
a31	0.21939543	0.07727307	0.0482617	0.042073812	0.17086823	0.26127374	0.18085404
a37	0.1872688	0.1342702	0.04110903	0.022537172	0.17023996	0.30384696	0.14072788
a31	0.16136472	0.039957747	0.065453015	0.048782084	0.08067588	0.32829824	0.2754683
a30	0.16384041	0.03628264	0.23148265	0.09917908	0.09209001	0.22579984	0.15132537
a13	0.14969164	0.07027812	0.112842955	0.06285747	0.04294297	0.24495965	0.31642717
a20	0.094525956	0.04755608	0.16480364	0.04999568	0.04185059	0.22296552	0.37830254
a41	0.09331364	0.025651531	0.17104407	0.10725588	0.05311512	0.17946084	0.37015897
a33	0.10550383	0.019286573	0.095523395	0.072278544	0.044452082	0.22562036	0.43733525
a31	0.1930826	0.050043847	0.08549871	0.05398922	0.016069537	0.08722597	0.5140901
a41	0.46712175	0.0356085	0.06763548	0.06200886	0.013649169	0.05903584	0.29494035
a0	0.4163671	0.03580518	0.09441087	0.05037505	0.05013911	0.114064455	0.23883824
a31	0.2680406	0.047457356	0.07808902	0.041732844	0.0853529	0.16532606	0.31400123
a24	0.2530969	0.14401434	0.13973372	0.119092956	0.06021787	0.12044789	0.16339631
a31	0.36757958	0.08014028	0.082490765	0.07670563	0.074863836	0.09483704	0.2233828
a20	0.17388546	0.176737	0.1117367	0.114002675	0.08504943	0.17703226	0.16155648
</S>	0.24236365	0.18702094	0.1441708	0.13306467	0.097961344	0.09618967	0.09922897
