 	questa	canzone	venne	scritta	quattro	anni	fa	</S>
a31	0.12230945	0.122265875	0.12612025	0.122333616	0.13388036	0.12253762	0.12368644	0.12686634
a21	0.010942973	0.0066870362	0.08636884	0.060317192	0.021715365	0.19098371	0.2899022	0.3330827
a37	0.12173699	0.10953461	0.14311634	0.08485982	0.010466069	0.08796776	0.23815495	0.2041634
a31	0.05669862	0.07653313	0.18502738	0.26140925	0.06479088	0.07117122	0.15954405	0.12482544
a17	0.02794071	0.05177916	0.14696327	0.20819591	0.046122823	0.23952417	0.16122314	0.11825082
a20	0.0057526403	0.004058812	0.17576262	0.39815563	0.049855564	0.12657438	0.124662735	0.11517762
a41	0.007280384	0.0066116764	0.21668509	0.33048308	0.17852734	0.12205305	0.08763029	0.050729074
a31	0.01300644	0.010911679	0.22912233	0.21668851	0.19508679	0.1920061	0.09020787	0.052970275
a46	0.009617377	0.009746875	0.25276893	0.26278618	0.041984268	0.18778563	0.15374707	0.08156371
a31	0.003864507	0.002655659	0.1117221	0.10352707	0.048858795	0.15807734	0.32017988	0.2511147
a13	0.011552814	0.008002085	0.06987918	0.060106207	0.009158892	0.1825654	0.178469	0.48026636
a41	0.0029667786	0.0021631692	0.094117254	0.08890179	0.031208113	0.17626588	0.26177847	0.3425985
a31	0.0029725428	0.0018998373	0.048404865	0.032141875	0.026672315	0.07495644	0.21477051	0.59818166
a33	0.006748766	0.0045810626	0.061881043	0.045034155	0.030216401	0.036730893	0.07300778	0.7418
a31	0.012196021	0.011473634	0.14112669	0.043537978	0.09652956	0.13797365	0.18973215	0.3674303
a28	0.024847224	0.020318002	0.14250723	0.1344901	0.16516347	0.087064184	0.07506771	0.3505421
a20	0.009969997	0.007185086	0.09385659	0.052273467	0.049835693	0.10997776	0.05838687	0.61851454
a8	0.03697228	0.02862689	0.24299262	0.069689624	0.100926265	0.09131249	0.035650995	0.39382884
a31	0.05722431	0.055531923	0.14750372	0.06514717	0.08954615	0.1034527	0.06812457	0.4134694
a39	0.036157813	0.034723103	0.30922028	0.07732063	0.2590161	0.07495704	0.08429049	0.124314554
a41	0.038083844	0.026233392	0.29990956	0.053083796	0.062352337	0.12706162	0.04254823	0.35072723
a13	0.10331883	0.07987913	0.30813473	0.0757039	0.11908804	0.06626923	0.08077584	0.16683029
a31	0.054247007	0.04653347	0.31525066	0.050270934	0.120469466	0.06283614	0.1759392	0.17445314
a35	0.035067458	0.03505756	0.13780385	0.061018664	0.24790044	0.07636721	0.21706252	0.18972234
a31	0.0775037	0.062678754	0.24446428	0.06441652	0.09097551	0.09680754	0.1259517	0.23720191
a21	0.06391797	0.06430541	0.0706847	0.09275195	0.36133838	0.07711073	0.15936677	0.11052404
a31	0.08004203	0.07928958	0.11232138	0.08816717	0.16148397	0.10634894	0.14547093	0.22687604
a10	0.07026341	0.07076177	0.070563376	0.08928176	0.39463866	0.07553303	0.1446482	0.084309876
</S>	0.047343954	0.04611247	0.11058962	0.10683526	0.22596638	0.15866937	0.14130208	0.16318084
