 	è	che	sono	ancora	svegli	che	ha	la	luce	accesa	</S>
a8	0.010719781	0.010359185	0.012995029	0.0152276	0.0317893215	0.180685925	0.21375782	0.209326185	0.121505095	0.139843075	0.0537909925
a31	0.00613723143333	0.00575486426667	0.00845284966667	0.0194476433333	0.0618001715	0.205220968333	0.20801996	0.206032155	0.099717415	0.127796265	0.0516204868333
a20	0.00382292414444	0.00402115348889	0.0101891072222	0.0326115417778	0.1244330505	0.265266542778	0.172666633333	0.154105585	0.071271226	0.116431078333	0.0451811576111
a46	0.00500725594815	0.00574860996296	0.0171155314074	0.0755815145926	0.1569608235	0.286074280926	0.127906654444	0.102072475	0.042758323	0.112913242778	0.0678612752037
a10	0.00905973731605	0.00933412332099	0.0206465154691	0.115948026531	0.1191190545	0.200995483642	0.0977476814813	0.0798076036667	0.0470422776667	0.194466627593	0.105832868401
a17	0.0126975441053	0.0135090684403	0.029408547823	0.120839113844	0.0700562595	0.133253464547	0.0951031271604	0.0842947048889	0.0673732042222	0.247829292531	0.125635676134
a31	0.0148500020351	0.0139450528134	0.0298006322743	0.0986626436147	0.0424763008333	0.126641674849	0.12066253572	0.11315916663	0.0795788664074	0.186751034177	0.173472088711
a20	0.0192069580117	0.0137634419378	0.0182188120914	0.0653971902049	0.0229256389444	0.123879878283	0.181353758573	0.174597998877	0.0856557054691	0.119252674726	0.175747942904
a8	0.0308435790039	0.0200579139793	0.0187392776971	0.0585756200683	0.0147367379815	0.0781753610943	0.247871512858	0.262332476292	0.078710605823	0.0763705299087	0.113586402968
a20	0.038245628668	0.0305758526598	0.0291126842324	0.0510287283561	0.0111737266605	0.0534533073648	0.264792907619	0.298313682097	0.072327965941	0.0595456749696	0.091429829656
a31	0.036833568556	0.0409597542199	0.0436926237441	0.042264520452	0.0075542610535	0.0672979231216	0.240207215873	0.275725364032	0.0859167673137	0.0532512316565	0.106296709885
a39	0.0391889161853	0.0548115924066	0.061740661248	0.048718989484	0.00790620685117	0.0588348740405	0.237707675291	0.263922508011	0.0863613144379	0.0400309215522	0.100776296628
a31	0.0539446420618	0.0627098854689	0.0661112170827	0.047047999828	0.00742628195039	0.0360486846802	0.257434555097	0.28308696267	0.0803475164793	0.0319600028507	0.0738822265427
a33	0.0777861706873	0.0775608464896	0.0731836256942	0.0457428189427	0.0080817093168	0.0360709072267	0.212675230032	0.241955634223	0.0876223051598	0.0663811122836	0.0729396131809
a31	0.102713883562	0.12563842883	0.130720388565	0.0596299386476	0.0131221937723	0.0403442514089	0.135675188344	0.157051004741	0.0793649097199	0.0833597824279	0.072380022727
a18	0.109639041187	0.15481303961	0.179348219522	0.0677442795492	0.0154893429241	0.034867002803	0.113937989448	0.14481394158	0.0758983665733	0.0568402001426	0.0466085725757
a31	0.100063030396	0.15063349987	0.223674743174	0.0677860585164	0.0185419666414	0.0340920632677	0.104349759816	0.132093477193	0.0813965421911	0.0530153943809	0.0343534525252
a23	0.0794717594653	0.12855025329	0.225479167725	0.0627456381721	0.0206077135471	0.0428615344226	0.111483436605	0.124683249064	0.10157751073	0.0634914047936	0.0390483508417
a31	0.0727908674884	0.11050680443	0.212507115908	0.0539364360574	0.0236255241824	0.0516637944742	0.118369848868	0.125741326355	0.113529680243	0.0729986182645	0.0443299919472
a39	0.0791858741628	0.111338931477	0.238352455303	0.0511227843525	0.0262478130608	0.0479115834914	0.110275229623	0.122700915452	0.108852060081	0.0647263774215	0.0392859286491
a31	0.0855681463876	0.112695783826	0.219760828434	0.0493346127842	0.0294760076869	0.0442407544971	0.114222079874	0.128382831817	0.11416228336	0.0646460621405	0.0375105555497
a24	0.0781564137959	0.0946811856087	0.158837497811	0.0425081162614	0.032366494229	0.0483569188324	0.138264539958	0.153074053939	0.139635084453	0.0717780913802	0.0423415715166
a20	0.0769228562653	0.0890048828696	0.121938440937	0.0400040634205	0.0342085854097	0.0524938702775	0.148608836653	0.16354801298	0.150420246818	0.0774445927934	0.0454055821722
</S>	0.0930562206327	0.104136621435	0.125695485469	0.0431465542103	0.0380545712049	0.0580274751388	0.131445288327	0.13909966399	0.132071751409	0.0887390313967	0.0465273010861
