 	qui	dentro	deve	mettere	un	tappeto	</S>
a20	0.067628253	0.12758011	0.0620953655	0.12918901	0.157528615	0.21459635	0.24138225
a31	0.066309753	0.27873138	0.0358529715	0.0928228463333	0.111713412333	0.223354773333	0.191214863333
a4	0.088440931	0.399799063333	0.0449095898333	0.0527683607778	0.0837221664443	0.227506904444	0.102852999444
a46	0.082891807	0.353127524444	0.0448535766111	0.0409369082593	0.114301930481	0.281809628148	0.082078633148
a31	0.068529849	0.277196634815	0.031132132537	0.0319773587531	0.138409476827	0.367127486049	0.085627090716
a28	0.049425023	0.181603676605	0.018594236179	0.0547138299177	0.123237268942	0.412093428683	0.160332551572
a27	0.0322778086667	0.115396407202	0.008149342393	0.0996371199726	0.100879916314	0.373818789561	0.269840590524
a31	0.0185131122222	0.0671496500673	0.00376858186433	0.0999701286575	0.0736788087713	0.381787209854	0.355132470175
a49	0.0089088737074	0.0315222823558	0.00209959258811	0.0678435725525	0.0423905495904	0.385542419951	0.461692690058
a23	0.00411921366913	0.0149420270186	0.0012281454627	0.0548445375175	0.0344022981968	0.398656039984	0.491807743353
a31	0.00442667102304	0.0148103835729	0.00639734085423	0.0852212681725	0.0817403310656	0.403061103328	0.404342927784
a29	0.00745640167435	0.0202823408576	0.0126014499514	0.0987192527242	0.105483297022	0.413955931109	0.341501352595
a17	0.0110398242248	0.0212505479525	0.0123568394838	0.0931515022414	0.076746410674	0.502162657036	0.283292234198
a20	0.0149277004083	0.0274653269842	0.0148888666613	0.108330100747	0.088257478558	0.466500735679	0.279629808066
a17	0.0189311864694	0.0311350596614	0.0180387455538	0.117853338916	0.096649336186	0.35544703856	0.361945292689
a31	0.0302028338231	0.0552217738871	0.0338810321846	0.143469606305	0.107650885395	0.288275096187	0.341298740896
a20	0.0491338812744	0.090080624629	0.0634923507282	0.141198135435	0.122767561798	0.206318406729	0.327008990299
a31	0.0715037337581	0.114883841543	0.0967274169094	0.124592128478	0.117285068933	0.158207463576	0.316800326766
a3	0.089830544586	0.124585980514	0.11455473897	0.130390836159	0.137690677978	0.149690097859	0.253257112255
a31	0.098938954862	0.117807023505	0.115798769657	0.138872172053	0.147617342659	0.15361831262	0.227347400752
a8	0.109567344954	0.119886079168	0.120931653219	0.145195670684	0.144365207553	0.157211300873	0.202842726917
</S>	0.116821807477	0.122054536584	0.122668751609	0.141652110342	0.150711173777	0.150551385436	0.195540218459
