 	non	so	cosa	scrive	</S>
a46	0.224532724	0.190037818	0.2096247232	0.1696187292	0.206186004
a8	0.258808978	0.2241109882	0.226834064	0.08354689912	0.2066990782
a31	0.372805114	0.262877845	0.2278611	0.0490560868	0.0873998894
a13	0.351000728	0.289164732	0.261343854	0.0411402746	0.0573503778
a31	0.332233852	0.287212508	0.236272804	0.0613401436	0.0829407328
a28	0.3215547	0.3116372	0.1855799532	0.082496491	0.0987316464
a31	0.298892466	0.304618786	0.1356469652	0.0890649186	0.1717768668
a37	0.328532098	0.292753562	0.1261788384	0.0924050484	0.1601304654
a31	0.304761566	0.332539276	0.1388273224	0.0825679276	0.141303892
a11	0.27764946	0.271674724	0.1359469708	0.1270910532	0.1876378006
a31	0.24399745	0.2339740188	0.209880662	0.115420692	0.196727178
a20	0.1841890032	0.177948509	0.1517121372	0.20523109	0.280919288
a31	0.1947236766	0.154378656	0.238168424	0.170832544	0.24189673
</S>	0.1725720892	0.1557400428	0.16520124	0.1926488292	0.313837796
