 	li	vestono	i	genitori	</S>
a31	0.246208814	0.219280054	0.159161428	0.197623864	0.177725842
a46	0.1759426696	0.21086381	0.191895272	0.232562044	0.188736182
a18	0.2412047706	0.209935605	0.1560897492	0.267527416	0.1252424852
a35	0.255173718	0.2820939874	0.1397262346	0.2194026758	0.103603388
a15	0.21430919654	0.2924673624	0.1321631954	0.2299186834	0.1311415628
a39	0.2305790352	0.264697069	0.132641851	0.2146610536	0.1574210168
a31	0.1637812128	0.276872434	0.1383762856	0.2347010004	0.186269036
a11	0.156715032	0.283270006	0.1546555474	0.227791701	0.177567696
a20	0.1249208186	0.226157974	0.141119995	0.2749049056	0.23289632
a31	0.13069584	0.232497254	0.1388657414	0.268870894	0.229070288
a39	0.203963397	0.219555862	0.1759360974	0.2116222208	0.18892243
a20	0.12609841	0.2058099932	0.1457447306	0.256119527	0.266227326
a46	0.156511156	0.1744230908	0.151267722	0.233488548	0.284309474
a31	0.172652392	0.1957226104	0.1412495462	0.212289478	0.278085974
a15	0.267214368	0.136701616	0.1479991492	0.194256708	0.253828162
a24	0.159112725	0.1638223686	0.1487500442	0.220593534	0.307721318
a20	0.182145174	0.1468083082	0.1404518186	0.222157482	0.308437204
a31	0.186522894	0.1423147992	0.1465979168	0.22092802	0.303636368
a13	0.195580316	0.16222274808	0.1597650088	0.202611732	0.279820174
a46	0.176201816	0.16389292742	0.1498507468	0.213296104	0.29675842
a14	0.2199630328	0.1519288108	0.16967471	0.223123514	0.235309928
a20	0.201662628	0.1591342994	0.173423051	0.224592018	0.241188006
a31	0.17936435	0.1745633172	0.19519075	0.229156904	0.2217247
</S>	0.1678683618	0.1557503386	0.1496050336	0.217245448	0.309530828
