 	le	melanzane	vogliono	ee	girate	</S>
a31	0.1988330068	0.185190138	0.15762519	0.1441491846	0.1491083564	0.165094154
a20	0.148762909	0.1277347688	0.170868795	0.188491776	0.2247840272	0.139357735
a18	0.185882026	0.1458397118	0.233564976	0.177584311	0.160481397	0.0966476262
a20	0.1556404636	0.1300332286	0.18685472	0.21221146	0.199415	0.1158451378
a38	0.1231700786	0.1019165338	0.1372901166	0.240706068	0.248233406	0.1486838072
a17	0.1182107022	0.0986319894	0.118031943	0.236957362	0.257006825	0.1711611988
a31	0.1080448438	0.085044566	0.1160733114	0.21684287	0.278951362	0.1950430352
a20	0.0839160876	0.0764585066	0.113891012	0.256868008	0.30366119	0.165205212
a41	0.0725306468	0.0588257288	0.1177757634	0.210927355	0.35902096	0.1809195526
a29	0.077061341	0.0600629757	0.1124246906	0.214317822	0.364941876	0.1711913116
a11	0.0728461168	0.06158106554	0.1128813856	0.217666792	0.346383088	0.188641534
a31	0.0732659214	0.06037691072	0.1075110212	0.226322636	0.327726774	0.2047967472
a8	0.0908391314	0.08315039404	0.09739742	0.201524376	0.272526358	0.2545623372
a31	0.080585893	0.075165776	0.1053567758	0.194081332	0.340540688	0.2042695446
a1	0.107299079	0.0758947966	0.0883833998	0.1747159926	0.2912110232	0.2624957054
a31	0.0848685108	0.07020932826	0.097420709	0.211192738	0.268584126	0.2677245912
a3	0.104895331	0.0767626984	0.0802529583	0.2080489794	0.2450811072	0.2849589348
a31	0.0890441412	0.0829219117	0.0840188326	0.1840330474	0.305076104	0.254905976
a8	0.1080364766	0.098409061	0.0918118886	0.2165659852	0.268264114	0.216912458
a23	0.1062810308	0.09946467088	0.0890214778	0.169909258	0.27651742	0.25880613
a31	0.1237338604	0.1207204244	0.1195036264	0.1943961412	0.239108068	0.202537884
a46	0.1176252162	0.106594778	0.0958642814	0.1873128866	0.265145372	0.227457432
a37	0.1164961178	0.1118321242	0.0993374644	0.1566496804	0.2579350472	0.257749587
a46	0.124936544	0.120846674	0.113953506	0.1720810774	0.249396535	0.218785684
a24	0.1032943504	0.1016847658	0.1242546086	0.195731218	0.252496852	0.2225382084
a31	0.0946828226	0.0997307854	0.1155627094	0.185248048	0.242402246	0.262373398
a46	0.129337498	0.11642777	0.1004194564	0.1813087818	0.238239014	0.23426748
a31	0.111993622	0.117181208	0.1241871506	0.1642280248	0.2574785032	0.224931489
a8	0.1507282592	0.135000932	0.112112924	0.1722004998	0.218806596	0.211150764
a24	0.137112199	0.1466604478	0.134381156	0.1781423308	0.232365162	0.171338692
a8	0.1164321256	0.1232238816	0.1172923898	0.1575934788	0.26311231	0.222345807
a31	0.1333948224	0.1394224912	0.13576893	0.194084448	0.224237722	0.1730915568
</S>	0.1366798642	0.1329633168	0.1178950684	0.1795537372	0.218006751	0.214901228
