 	la	madre	e	il	padre	non	è	non	è	che	li	dimentichiamo	mai	perchè	ci	hanno	dato	la	vita	e	amore	</S>
a20	0.0289528454	0.0645140461	0.0418415122	0.0385657136	0.0396611996	0.037893598	0.0322104294	0.0370587056	0.0334460702	0.0379931388	0.0374015578	0.0363980046	0.035907418	0.0403955376	0.0411758166	0.0427346506	0.0994777784	0.0431746446	0.053553144	0.0463330574	0.0616878236	0.0696233044
a31	0.04578235028	0.0847996968	0.0708734912	0.0413056774	0.06199729	0.0431841468	0.0334157939	0.03215621296	0.02923462266	0.02685182834	0.0216771594	0.028337273	0.021689742	0.0431823256	0.0388502614	0.0472056788	0.0426412996	0.04524994092	0.0491677734	0.0569503554	0.0798334134	0.0556136434
a11	0.05673867448	0.0936447684	0.0890974316	0.05577977	0.0577642018	0.046015464	0.0225887028	0.0333139293	0.02300144328	0.02997149684	0.0288572952	0.0358486533	0.02184975336	0.0442709394	0.03432951016	0.04930674542	0.0343390288	0.05327793692	0.0494491252	0.0552991138	0.0611890224	0.0240670267
a5	0.0425572352	0.0887415308	0.0855317884	0.063534285	0.040143707	0.0375199289	0.024390939	0.0319277324	0.0228724376	0.02912226388	0.0267712008	0.033929476	0.02350966908	0.0455019434	0.0346819125	0.04838663926	0.0356917349	0.0539137838	0.0554620594	0.0539409596	0.0505292916	0.0713394674
a37	0.0468298436	0.0721525922	0.0635492522	0.0545762666	0.0507574273	0.0395356476	0.02753360532	0.03271159128	0.0227899095	0.0299350884	0.0261396284	0.0356945258	0.0242714834	0.06096217	0.0346058166	0.047102634	0.0346079974	0.0587128163	0.0606395294	0.0631598832	0.063227613	0.0505046576
a31	0.0316195752	0.064569187	0.0585640488	0.0492998852	0.0469876006	0.0439418088	0.0292176884	0.0376045332	0.0264751992	0.0334528996	0.0284879521	0.035129549	0.0230233604	0.0611786756	0.0335600697	0.04539144224	0.0364063352	0.06233235226	0.06744041234	0.0652756214	0.0619088246	0.05813299954
a37	0.02024710608	0.0794647462	0.0483484256	0.0333105182	0.0440672622	0.03897992888	0.02295550226	0.03703533028	0.02273347504	0.03347581306	0.032344831	0.0394249302	0.0237248276	0.0588728994	0.0313125133	0.04986655944	0.0363510906	0.066500339	0.0631964872	0.0689079642	0.097740961	0.051138523
a18	0.0269823848	0.046339376	0.0470915098	0.0373635966	0.0555704235	0.0492917296	0.02763509782	0.03609205606	0.0261917672	0.02905440354	0.02253596454	0.03002052114	0.0227512886	0.05659899	0.0343441273	0.04506949508	0.0353867068	0.0653719268	0.07468524448	0.0758715003	0.102607432	0.0531444462
a24	0.02997920792	0.0613185244	0.0498961612	0.0389656814	0.04723455514	0.04194768146	0.02769446024	0.0351026474	0.02318040788	0.0277508956	0.0219668524	0.02831151792	0.0225384121	0.0470052154	0.03652725926	0.0458449969	0.0363161532	0.0605875612	0.0680083588	0.0668951786	0.09157314	0.091355151
a34	0.0362959378	0.0571258134	0.0593584992	0.0446258156	0.036584597	0.041107859	0.02827278506	0.033492705	0.02472532454	0.0296237316	0.0250655744	0.0282789821	0.0246922709	0.038859148	0.036496786	0.0453437596	0.0363631908	0.0543738302	0.0634921256	0.0659225704	0.0893274838	0.1005712024
a46	0.0214468184	0.0694343753	0.0629798728	0.0403750242	0.0430894687	0.0527842982	0.02428567614	0.0415508288	0.0265484869	0.036999615	0.0315635061	0.03508869368	0.02606675482	0.0424339402	0.02760778104	0.043553581	0.03165125608	0.053285675	0.0607907258	0.065663534	0.0826287582	0.08017135332
a38	0.0255062396	0.04501915	0.03981553	0.0313224208	0.036655849	0.043463453	0.0296504344	0.0429887304	0.0283657292	0.0346007058	0.0276930204	0.02877842926	0.02320450474	0.0458490608	0.034168958	0.0479440424	0.033088869	0.0562739888	0.078553138	0.0804758512	0.12440857	0.0621733191
a8	0.023578493	0.0537564766	0.04536488	0.0375600854	0.03908932446	0.0434755984	0.0271271234	0.0400313958	0.02419018984	0.0304228852	0.0261660586	0.0283614494	0.0232688492	0.0485880332	0.02824434352	0.04286859946	0.03192046292	0.058186196	0.0895680102	0.1065675404	0.0967087408	0.05495525352
a31	0.0176713808	0.05046728924	0.045996793	0.0329655698	0.0362326546	0.046134174	0.02539962544	0.0381684824	0.02178965872	0.0304399172	0.0270853692	0.0301302206	0.0217101946	0.0404602022	0.0322817698	0.05166214	0.04893097706	0.0577951472	0.0588043442	0.0722526734	0.0575954114	0.1560260072
a15	0.01728091972	0.0715002313	0.0490152144	0.0336664174	0.0400015622	0.0375815372	0.02071454362	0.03271192452	0.0187089763	0.02745917102	0.0258397616	0.03747414784	0.02089448952	0.0502467498	0.02460735426	0.05725005812	0.0369097872	0.0661810704	0.0705469516	0.0779960094	0.0574361942	0.12597691634
