 	mia	mamma	puliva	la	casa	ogni	giorno	</S>
a37	0.1093107052	0.128418204	0.0840719942	0.0979498308	0.1001457566	0.14419598	0.1805462968	0.155361238
a31	0.091476772	0.156043171	0.0923062174	0.116020567	0.110864314	0.1355155488	0.187608844	0.110164572
a21	0.1290256978	0.233153496	0.1056693838	0.1245456708	0.0635585	0.1174888312	0.1648812798	0.0616771536
a28	0.1348924082	0.172888142	0.117135486	0.142625978	0.08614821236	0.1269173244	0.134518868	0.084873576
a35	0.137722132	0.155869746	0.0949323684	0.130824768	0.07687761574	0.1153457764	0.1617052552	0.1267223526
a24	0.093919346	0.125911804	0.100967115	0.175549737	0.0937624978	0.1258450944	0.1495915008	0.134452886
a46	0.10638844194	0.123186666	0.2094190402	0.13707252	0.07616244308	0.11468887194	0.140195443	0.0928865654
a31	0.08103623526	0.0966081591	0.2363146128	0.112986276	0.071953302	0.1387466754	0.167961144	0.094393614
a24	0.11113775586	0.1484469852	0.2541541442	0.1126639474	0.0405843732	0.1205360666	0.1800730054	0.0324037232
a46	0.077221302	0.1198897361	0.2105446158	0.1088364822	0.0671948634	0.141098597	0.189966526	0.0852478722
a20	0.0613903322	0.10888584256	0.192413925	0.1222653142	0.0597485104	0.1302053714	0.222007333	0.103083376
a31	0.0729653274	0.10733358	0.241090432	0.0927184494	0.0457702306	0.115851862	0.2264573852	0.0978127004
a6	0.0898853416	0.158618302	0.2417564188	0.0983712968	0.054352378	0.1011568562	0.1893518422	0.0665075744
a20	0.0621685666	0.1131876976	0.1964615764	0.0956667118	0.058636534	0.107390354	0.2058995172	0.160589062
a31	0.0809686306	0.1013845726	0.1603545216	0.0915590526	0.052642974	0.109576342	0.207125831	0.196388036
a45	0.0976146744	0.1557880144	0.1636500902	0.0896868256	0.0644416014	0.0860184476	0.1869146822	0.1558856734
a20	0.0637046304	0.10400720288	0.1043513176	0.0751786836	0.062809281	0.1350155078	0.25519436	0.1997390552
a31	0.09136613982	0.0971499137	0.098484643	0.0877508522	0.078632644	0.118458301	0.217147995	0.211009526
a46	0.10801930856	0.11941940898	0.0894604008	0.07909236684	0.0728542714	0.099178629	0.239614822	0.1923607956
a31	0.100506805906	0.10473386866	0.107834808	0.07857425792	0.075329239	0.11585375	0.243550082	0.173617167
</S>	0.10239014794	0.11530492246	0.0899504114	0.08980370088	0.0890854212	0.1143873992	0.219952714	0.179125284
