 	guardando	le	nuvole	sapevi	che	sta	per	piovere	</S>
a31	0.09215597628	0.0973031233	0.1184992525	0.1506630884	0.1040789235	0.10724842	0.1164756788	0.1253912956	0.0881842285
a46	0.0905422956133	0.0999894133	0.1190743501	0.1585350216	0.0966590297	0.103053498733	0.118574480067	0.137601437867	0.0759704567
a31	0.0961623101378	0.101538656767	0.114485495633	0.162732960933	0.0976058443667	0.0980145592443	0.103919376689	0.158526210356	0.06701457762
a27	0.0849088132793	0.0833763263223	0.108209074078	0.187535740844	0.0990866703889	0.0931674860148	0.092241296163	0.187019688785	0.0644549024267
a41	0.0713184284598	0.0696731444408	0.103199441893	0.216238906575	0.0927917559296	0.0824934578049	0.084573897721	0.210797067262	0.0689138980022
a1	0.0724933054199	0.0653622685469	0.0985823357643	0.225613520952	0.0889071735099	0.0787239296683	0.077640155107	0.213395610421	0.0792817082941
a21	0.07419331394	0.0626340067823	0.0891924655214	0.225400435451	0.0830690196366	0.0827883569561	0.093286231369	0.19509587014	0.0943403071647
a31	0.07306556598	0.0608199289941	0.0788546122405	0.22346429815	0.0794708296122	0.0789009197187	0.104608316256	0.191353778913	0.109461738275
a13	0.0718843596	0.0578008999647	0.0682812451468	0.22613947363	0.0782627172574	0.0683895967729	0.102800357219	0.193866098038	0.132575231378
a31	0.07190078754	0.0611305561082	0.0611278353823	0.237253241657	0.0793387795391	0.0603853608576	0.101483104673	0.186232986499	0.141147332233
a41	0.0720460490467	0.0642479411494	0.0569124027274	0.245747566246	0.081932156493	0.0549129052859	0.103869655891	0.180145663586	0.140185658251
a35	0.0716442467956	0.0588476706765	0.0535938431758	0.236982796422	0.0789121291777	0.0528516596286	0.10512025883	0.191026009929	0.151021381817
a31	0.0752720195785	0.0601543175588	0.0564208849919	0.228343999454	0.0811789624259	0.0527370479429	0.0908516815433	0.204221499176	0.150819585272
a14	0.0782883573262	0.0626868356529	0.057632658464	0.231484185785	0.0888533528353	0.053676891981	0.0765203239811	0.203154495925	0.147702898224
a28	0.0793935883754	0.0628937648176	0.061075390728	0.219512232182	0.0896949124184	0.057995149327	0.071623394127	0.186206329175	0.171605223875
a31	0.0877490983251	0.0688433188059	0.0699497468827	0.199617513281	0.0953604987861	0.0676167829757	0.071261667509	0.157104687792	0.182496677892
a0	0.089127902075	0.073181144602	0.0737070240942	0.174778929787	0.0965245843954	0.0747369941252	0.0784525408363	0.154734679331	0.184756192164
a31	0.0928093812583	0.0788196914007	0.0754231648314	0.147906891822	0.0981921385985	0.0828820025084	0.0892183413454	0.153468325777	0.181280054055
a46	0.0942411615861	0.0833014490002	0.0795672440105	0.123592472674	0.101196953933	0.0935310293028	0.105817228582	0.150323541926	0.168428920018
a17	0.0845840544954	0.0805627312001	0.0803450636035	0.101577136958	0.101261010044	0.105754766568	0.119169055261	0.150398612642	0.176347562006
</S>	0.0830055030477	0.0793496924	0.0797414418017	0.095925124479	0.105713699022	0.114055280784	0.11956838963	0.138921442321	0.183719411003
