 	mia	sorella	ancora	non	è	venuta	qui	</S>
a8	0.1230807965	0.0993080279	0.125291768	0.1147690755	0.0826345164	0.1882612876	0.1426210128	0.1240335026
a23	0.107565147567	0.0913725595	0.131693011333	0.122205299833	0.0930999084667	0.206926028933	0.126966801933	0.120171237267
a31	0.124458097322	0.0956997549	0.135040579378	0.125582948944	0.0921736194222	0.209723766711	0.113402922244	0.103918303556
a8	0.136339106907	0.0984036500333	0.143751265726	0.128519302648	0.0825268220741	0.213221792904	0.105794717881	0.091443344652
a20	0.123101479702	0.0983044684778	0.147484008909	0.144318366216	0.0884687386247	0.203867046901	0.10392848996	0.0905274189507
a24	0.133521699367	0.0992554280259	0.139340979636	0.163466938672	0.0948452510749	0.2006408647	0.0904417866533	0.0784870644502
a31	0.132887706589	0.0995216100086	0.131420360479	0.166222894424	0.0966105436916	0.227014964433	0.0709711104844	0.0753508135501
a20	0.10791215973	0.0952898589362	0.125290178426	0.156032255008	0.0853665352639	0.269808189411	0.0685208064948	0.0917800211834
a31	0.109738912177	0.0886489807787	0.123895423809	0.139936866936	0.077551567188	0.296883330804	0.0668802173049	0.0964646973945
a37	0.106516136992	0.0791181508596	0.109382408536	0.111776039445	0.0677374452627	0.334337670135	0.0667957108083	0.124336434532
a41	0.0750446175973	0.0593754656865	0.0804193871787	0.0879566857483	0.0633281941542	0.366099049645	0.0953077182028	0.172468881911
a37	0.0622926751991	0.0478229199955	0.0692339781929	0.0851996101828	0.0668326709847	0.350784640415	0.113084633968	0.20474887297
a13	0.0581991960997	0.0441544958318	0.0649681253976	0.0877175908609	0.0668405834616	0.320030560805	0.110268070256	0.247821382457
a38	0.0521276087332	0.0411282923439	0.0589743113992	0.086496874687	0.0653663120205	0.305989494535	0.110328326019	0.279588779686
a35	0.0495286635444	0.0394751357146	0.0540809958664	0.0842983427623	0.0640172094335	0.302190907645	0.10805315594	0.298355596229
a39	0.0503466423481	0.0402174761049	0.0516640561555	0.0845977535874	0.0600237547045	0.302555101015	0.09901988294	0.311575348276
a35	0.0511873879827	0.040882086435	0.0504992762852	0.0845020263291	0.0559013531015	0.301696131072	0.0990873842733	0.316244350959
a20	0.0537738284609	0.042263122145	0.0489965905284	0.0844455903764	0.0573997304338	0.307773274157	0.101405553891	0.30394228872
a31	0.0713011077536	0.0468226883817	0.0451983936428	0.0772670880921	0.0562725146779	0.324144293719	0.089851236897	0.289142660907
a46	0.0826099091179	0.0515876828606	0.0439212832809	0.0675129733974	0.0598980153593	0.30681309704	0.0983632270323	0.289293805169
a37	0.0818649888393	0.0552628331535	0.047675889847	0.0645238044658	0.0667169825198	0.266912547213	0.129796790077	0.287246159723
a17	0.0862014604131	0.0591862231178	0.052183475769	0.0647375327886	0.0679116019733	0.241402355471	0.150364521092	0.278012811574
a31	0.0939841163377	0.0692828259259	0.0584227385363	0.0686491587695	0.0717054068578	0.218517026157	0.164172520631	0.255266182125
a20	0.0906318195592	0.0734886683753	0.0610967441654	0.0728282889965	0.0774862211859	0.197890182319	0.188024524877	0.238553545975
a39	0.0807124868997	0.0715621637918	0.0612510861085	0.0747755067522	0.0814447120286	0.18659357104	0.212975169626	0.230685309925
a31	0.0909403336599	0.0795833390973	0.0662808348162	0.0752570264374	0.0820480336095	0.174027248147	0.212834793875	0.219028389308
a33	0.0960176873133	0.0865089699258	0.0721701090121	0.0773255501791	0.0862357044698	0.157326776049	0.214852470625	0.209562724836
a21	0.0849636780178	0.0839909206686	0.074196257644	0.0774565841264	0.0891087741566	0.148757850083	0.230451215542	0.211074708612
a31	0.0923340780993	0.0873123836362	0.0757991332147	0.0771696458688	0.0876204509855	0.146312972894	0.224398991047	0.209052334271
a29	0.0991638639198	0.0924195669787	0.0781687170382	0.0790604729829	0.0901587973952	0.137767290765	0.221869514882	0.20139176649
a31	0.103265608147	0.0954051652929	0.0800625809794	0.0811173667943	0.0937540705984	0.131214004322	0.222488216694	0.192692977497
a8	0.105454418096	0.0971590175643	0.0817207408598	0.0829174232648	0.0984263477995	0.131775901041	0.218670549698	0.183875603499
a31	0.102984196425	0.0970684433214	0.0829161390866	0.0839401994549	0.101062409933	0.131212942347	0.216656052299	0.184159622166
a17	0.101784689008	0.0969799691738	0.0834078188755	0.0851294080516	0.102319320378	0.125790491449	0.217248059766	0.187340239122
</S>	0.095610374784	0.0948178773869	0.0830916503078	0.0860283530258	0.104745231189	0.122236454725	0.222252023383	0.191218027161
