 	hai	già	mangiato	</S>
a38	0.265587271	0.2456459075	0.263923228	0.2248435978
a31	0.319242493667	0.2423425439	0.250661831333	0.187753127333
a20	0.363715338556	0.2401148737	0.229451809378	0.166717963778
a31	0.362752392185	0.238288900567	0.230195929926	0.168762773459
a27	0.336768943395	0.248132493522	0.238167970509	0.176930603286
a31	0.282802334465	0.249572728507	0.25865876217	0.208966184829
a20	0.249436280155	0.233586630169	0.296561544057	0.22041555561
a31	0.229783828052	0.211914614323	0.294383449352	0.263918119203
a39	0.207437016017	0.192720614641	0.292663021784	0.307179349734
a20	0.194846580006	0.193686596747	0.301769290595	0.309697526578
a10	0.192832159735	0.197131266516	0.280066416865	0.329970156859
</S>	0.193719625467	0.195481124258	0.269093653433	0.341705607429
