 	non	ha	mangiato	mai	un	rustico	</S>
a31	0.139594619	0.1322973261	0.1211025816	0.08363542508	0.1250325858	0.239790901	0.1585465537
a24	0.185451434333	0.167439683433	0.1318436402	0.0763746565467	0.105407665933	0.206063831	0.127419073767
a31	0.230541479444	0.216869280478	0.171193469867	0.0641481026156	0.076146966511	0.156765307533	0.0843353738557
a0	0.218331158815	0.208991628159	0.212813412356	0.0594951817719	0.0636971303703	0.156640139311	0.0800313462186
a31	0.206395801938	0.194341921586	0.232372463119	0.0639854789373	0.0606317271234	0.16127946317	0.0809931543395
a17	0.192528840846	0.183855797062	0.23594121024	0.0608758053258	0.0578893609078	0.181017575323	0.0878914199132
a13	0.169194146749	0.151469903221	0.238407925947	0.0578615299086	0.0582180891026	0.215167528374	0.109680874371
a31	0.150990149516	0.142942014274	0.201384674249	0.0601010550362	0.0625353004342	0.254435170925	0.12761163279
a20	0.131374047505	0.129599022225	0.16656652875	0.0607299965787	0.0706048516781	0.282068554975	0.159056996663
a31	0.113625169168	0.109556263008	0.144819045317	0.0738877942262	0.0757638825594	0.294135116325	0.188212721754
a23	0.100454336389	0.0985761446027	0.106891079906	0.0818294220754	0.0878587361198	0.310172895442	0.214217376318
a8	0.0969575921297	0.0947831622009	0.0923240994353	0.0819505746251	0.101522398973	0.301388064747	0.231074104839
a20	0.0988243752432	0.0998801709336	0.0895078859451	0.0996605144084	0.123935696658	0.260946236782	0.227245114613
a31	0.103712648081	0.105910233711	0.091634424815	0.115899905136	0.136202406619	0.212798496194	0.233841864538
</S>	0.107961500741	0.108308810456	0.0932391338575	0.120199139568	0.130364360009	0.191760156597	0.248166873769
