 	il	lenzuolo	vuole	lavato	</S>
a31	0.2032188365	0.22174557	0.160165273	0.257446428	0.1574239082
a7	0.2455238381	0.2112752636	0.151360795667	0.262570874467	0.129269250133
a31	0.2874710963	0.2146641848	0.137691482422	0.278155594556	0.0820176455777
a0	0.253337669567	0.2189921744	0.124269324207	0.334453306519	0.0689475198592
a17	0.198321093722	0.228416813867	0.119613559669	0.370022681773	0.0836258474864
a13	0.190603766707	0.249481710756	0.115248092356	0.354303043591	0.0903633732955
a31	0.185509272902	0.267717998452	0.093812876652	0.362178954664	0.0907808774318
a17	0.159168937834	0.266888485484	0.0813034025507	0.379553313021	0.113085838144
a8	0.146950563878	0.246531749761	0.0916277776502	0.35961839114	0.155271495981
a31	0.160269855559	0.212487292787	0.108930620883	0.334716859113	0.183595363194
a24	0.152551845586	0.218862318996	0.120540563594	0.297467892704	0.210577370931
a46	0.138272923995	0.238994415132	0.123872953631	0.272199390835	0.226660309577
a24	0.140763181198	0.231641119711	0.136578748144	0.271355634278	0.219661315926
a37	0.143621619733	0.21108695057	0.152797970115	0.273249973426	0.219243491442
a31	0.163654857644	0.18019242519	0.154229414905	0.256058713809	0.245864594881
</S>	0.179908638222	0.167535444095	0.148962883752	0.233988064905	0.26960496544
