 	vuole	vuole	mangiato	caldo	</S>
a37	0.246996938	0.2464737296	0.150079451	0.2017273232	0.1547225835
a31	0.303101036667	0.293914450533	0.143726270667	0.143477364533	0.1157808901
a41	0.339572103222	0.302645689511	0.146053347222	0.111599127178	0.100129720767
a31	0.357550690741	0.28028817517	0.151808250674	0.107431678593	0.102921185189
a11	0.356543841914	0.272995505723	0.149067604491	0.117243472131	0.10414956393
a20	0.318217154705	0.253243130574	0.156688823497	0.14433129411	0.127519594577
a31	0.294531051968	0.213073354858	0.155441853832	0.171304179637	0.165649566726
a18	0.273787950656	0.166584965753	0.140238658477	0.204955493479	0.214432933575
a31	0.221653316885	0.140576336584	0.134556342026	0.246368304493	0.256845693192
a20	0.170630520962	0.121701789061	0.133926075675	0.279703660831	0.294037952397
a21	0.147436696321	0.11247017782	0.132432993892	0.298122534277	0.309537602132
</S>	0.145286324161	0.11389699261	0.136929000446	0.304558761139	0.299328928066
