 	voglio	che	Maria	viene	domani	</S>
a33	0.2593629797	0.20891205	0.10071377156	0.1584670078	0.1050619658	0.1674822058
a31	0.327561848367	0.248044953333	0.08549105696	0.151486157533	0.0790237511333	0.108392226067
a11	0.340384053056	0.265273489111	0.09553046192	0.148148014244	0.0692535525778	0.0814104157557
a31	0.333600133952	0.282647243704	0.10470137384	0.138457918348	0.0680342641926	0.0725590629186
a18	0.331483639984	0.294504310968	0.106631853213	0.131623027449	0.0673859404642	0.0683712363729
a31	0.325067523995	0.307124359389	0.099987519271	0.126752191483	0.0706710941547	0.0703973102576
a42	0.285756731332	0.290407175196	0.0879507624237	0.146879789828	0.0855813921849	0.103424139353
a37	0.233357734777	0.240860283999	0.0847483773412	0.184673588876	0.111904061728	0.144455942518
a31	0.198550456326	0.1917441674	0.0864283172471	0.210610260359	0.139221214576	0.173445575906
a20	0.173099768842	0.1445520892	0.0849267008157	0.218998669986	0.168376269525	0.210046484635
a31	0.150448834681	0.1148800076	0.0855793780052	0.213041963062	0.197695303175	0.238354506212
a8	0.123824738894	0.0968004568	0.0858915138684	0.205672671021	0.227560221725	0.260250396071
</S>	0.114188541347	0.0937452683	0.0846267257342	0.196592134911	0.240930540863	0.269916782035
