 	se	si	era	vestito	la	figlia	l	avessi	portata	alla	chiesa	</S>
a31	0.0704061798	0.05427303588	0.055904258	0.04454464284	0.05722863184	0.0710722364	0.0796923122	0.087679858	0.1163785808	0.0958811613	0.1367437461	0.1301953753
a20	0.0765965313333	0.0493822717467	0.0504850623333	0.0416804944933	0.05687394144	0.0697060707333	0.0811709309333	0.0923822153333	0.1380556596	0.0954021393667	0.1330358751	0.115228824233
a37	0.0892476824444	0.0512193751156	0.0527570325778	0.0468272134178	0.0655525921867	0.0677003613778	0.0770134341778	0.0880212710444	0.134608508867	0.0889929301222	0.133078242767	0.104981362278
a24	0.0797994402815	0.0481350707985	0.0503460802926	0.0521619905059	0.0735449514556	0.0674311870593	0.0749970773259	0.0806986409481	0.122917341689	0.0879376369741	0.147637889056	0.114392682426
a31	0.0674682721605	0.0417228772662	0.0485191133775	0.051956791202	0.0705427232385	0.0681195907531	0.0808283331086	0.0832374366494	0.122222770763	0.0953382995914	0.150148081685	0.119895694275
a39	0.0606125560535	0.0383622865954	0.0474014497725	0.0476561216007	0.0646331851662	0.0660456215177	0.0859729632362	0.0808996865498	0.119681042654	0.108905056664	0.142781417495	0.137048613892
a31	0.0561513592178	0.0365731941318	0.0459102637642	0.0399009466669	0.0589683970754	0.0628210821726	0.0840266361454	0.0736265365166	0.113937709485	0.118807791421	0.139770225832	0.169505861631
a24	0.0539262572726	0.0355433391973	0.0471965679947	0.033133940569	0.0533379564251	0.0631256689909	0.0831598255151	0.0757658238389	0.114664258895	0.12178233874	0.136669113277	0.181694898677
a31	0.0483627033575	0.0331320491791	0.0417138762516	0.0285981948163	0.048418052355	0.0612789607303	0.0827979564384	0.0747086802796	0.116522920432	0.124098239447	0.141926135092	0.198442219092
a28	0.0438181246792	0.0309325451597	0.0340712306372	0.0258228677121	0.045257396885	0.0595976037101	0.0833419262128	0.0703935506932	0.118110574544	0.131676164549	0.155271340364	0.201706668164
a24	0.0436684639597	0.0313615376066	0.0332874749724	0.025744823644	0.0464848291017	0.0619353504367	0.0854116924043	0.0705414493644	0.116139983715	0.125844894716	0.154406960388	0.205172541388
