 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.1227040855	0.1359095514	0.152192881	0.1447574835	0.1507571931	0.1686171842	0.1250616329
a31	0.1233008955	0.150483078133	0.160441175	0.132523713033	0.1430234097	0.188456016133	0.101771727367
a6	0.146272666833	0.159829705778	0.165046527667	0.137258800544	0.141864555167	0.158796361644	0.0909313837223
a31	0.162836881944	0.159175938593	0.155434795622	0.138671150848	0.147207023989	0.148442730948	0.0882314646741
a37	0.158493567315	0.146183340598	0.133399635207	0.127869323883	0.169596864463	0.180086853649	0.0843703995247
a31	0.143553087372	0.133606796933	0.114412330136	0.119592589561	0.210631027821	0.196305233683	0.0818989330416
a17	0.123876043564	0.125769544671	0.0997179865787	0.11895738012	0.220229550607	0.212932964094	0.0985165256472
a31	0.110593255228	0.118067875984	0.0857520496596	0.120571570707	0.211092275936	0.226281384298	0.127641579116
a17	0.101994769243	0.110261068348	0.0765998928865	0.112340957969	0.214779861379	0.231682433099	0.152341020505
a31	0.0954801867143	0.104484859536	0.0709055280288	0.0991358955897	0.215442378926	0.238983313766	0.175567837235
a8	0.0934110750381	0.099090850112	0.0699422806763	0.0934419539299	0.222353630775	0.248542379922	0.173217843212
a31	0.0930945720127	0.0950994385707	0.0767518172254	0.0964717043766	0.225673145192	0.252701833307	0.160207505537
a28	0.0920204963042	0.0912831829902	0.0763317512751	0.0887376027255	0.212842076664	0.264374857969	0.174410022779
a0	0.0898943912481	0.0885583559301	0.0734954820917	0.0814965381752	0.198312218555	0.272447943523	0.195795047793
a41	0.090581738196	0.0916774506434	0.0880765681639	0.0834924026584	0.190406600918	0.269747811841	0.186017411131
a39	0.087871307332	0.0899029385478	0.0970746872546	0.0860039736861	0.188318980106	0.294834025547	0.155994076244
a31	0.090350665244	0.0881190773826	0.110994239685	0.091791218362	0.187606456769	0.276566135049	0.154572201081
a39	0.098196652028	0.0955697351942	0.123800205695	0.0945234389207	0.17107264119	0.227234498616	0.18960283856
a31	0.106093484756	0.101551074598	0.147864115165	0.0949926834402	0.15258061733	0.200915984539	0.19600206212
a18	0.114796907052	0.108114051999	0.177210197988	0.0939381601467	0.13814971911	0.174316240913	0.193474741507
a31	0.121585572617	0.1179946256	0.171408456863	0.0972200146489	0.13662035797	0.153837634371	0.201333345969
a18	0.126391199806	0.125060348467	0.166321136288	0.103519064216	0.13783750879	0.140854764457	0.200015974056
a31	0.129007063669	0.131176892889	0.155937842096	0.107483558472	0.140677576797	0.133938799219	0.201778267352
a39	0.129524687423	0.133611697363	0.147286695832	0.112430390157	0.142452599399	0.13265208614	0.202041855517
a41	0.124251611608	0.133234572121	0.148801666211	0.115198845852	0.129492176533	0.144914118047	0.204107018572
a8	0.117068301369	0.127210143574	0.140380683137	0.118777724751	0.130574466778	0.178228596016	0.187760094857
a31	0.11586786749	0.122744365725	0.130622164846	0.11951833925	0.139365849926	0.172582432272	0.199298993619
a46	0.115483867277	0.119587855575	0.134667450082	0.120716058417	0.136247873242	0.151900665024	0.22139623414
a8	0.113098994719	0.116207938725	0.137533426694	0.120972029539	0.127002913681	0.185980901675	0.19920378858
</S>	0.11237445483	0.116844746162	0.132170918447	0.12007726387	0.126457435841	0.208774909838	0.18330026469
